id,severity,area,route,viewport,role,actual,expected,user_impact,business_impact,trust_risk,root_cause,evidence,dependency,effort,reversibility,owner,status,test,commit,preview,production,exception
P1-GA-012,P1,privacy-integrity,"/profile/settings|/admin/operations/privacy-requests",all,"tourist|organizer|admin","Route CAS and authenticated orchestration are fixed/tested; active-request uniqueness, durable audit and live effects remain unknown","One active request at DB level, atomic audit and proven processor completion after live parity","Route races no longer overwrite state, but concurrent duplicate requests and compliance evidence remain open","Privacy deletion cannot yet be certified end to end",critical,"WP-007 fixed ID-only transition and processing→rejected path; residual guarantees require canonical DB constraints/transaction","8 privacy route tests; 11-journey manifest; exact build/local+remote auth-guard browser",P1-GA-004,M,high,engineering,partially_resolved_preview,"8 focused + 2014 suite + exact build/local+remote browser + fail-closed smoke",cad6aa35,ApSwUC4F1qfgwMAjkKqRELUSojuY,"unknown DB; production remains down","No real export deletion or transition executed; remote preview proves artifact/auth guard, not backend effect"
P1-GA-013,P1,privacy-recovery,/api/cron/privacy/process,all,ops,"WP-008 preserves identity after partial profile anonymization; WP-009 CAS-guards terminal states and isolates completion notification, while auth/profile/booking cleanup remains multi-call","DB-backed uniqueness lease/checkpoint/recovery design plus controlled disposable rehearsal","Identity-linked retry and terminal monotonicity are fixed; a mid-run failure can still leave partially anonymized state awaiting manual recovery","Compliance and account recovery risk",critical,"Profile anonymization preceded email cleanup; completion email could regress completed→failed; remaining workflow lacks transaction/lease/checkpoints","6 processor unit contracts + 14 privacy focused + 2019 full tests + exact local/remote artifact/auth evidence; no live mutation",P1-GA-004,L,medium,engineering+ops,partially_resolved_preview,"DB parity + lease/checkpoint design without production mutation",34c05f55,CKfpUHhxpSzqgQUuhXQuidrC7HGh,"unknown DB; preview data plane down","DDL and destructive rehearsal forbidden until canonical parity/backup"
P0-GA-014,P0,payment-integrity,"/api/bookings/[id]/payment/*|/api/bookings/payment-link/[token]",all,"tourist|guest","Parallel providers could create two checkouts; result writes were blind; callbacks trusted request origin; status leaked full booking/raw errors","One provider claimed before external call; stale writes conflict; canonical callbacks; bounded public projection","Double checkout and capability-token data disclosure are prevented in candidate","Payment trust, chargeback and privacy exposure",critical,"Independent read→provider→write routes had no pre-provider reservation; public status serialized canonical booking","21 focused route/integrity tests + 2031 full tests + exact build/local+remote desktop/mobile recovery QA",P0-GA-001,M,high,payments+engineering,partially_resolved_preview,"live DB/provider/webhook proof after data-plane recovery",179d3e51,4aRm8X7QNDMLPXcoTgZseo64KrSK,"production old SHA remains down","No real payment or valid production token exercised"
P0-GA-015,P0,booking-inventory-integrity,/api/bookings,all,"tourist|guest","Price quote used the real booking slot path and scheduled booking ignored failed slot confirmation; unknown RPC errors could reach the client","Only a real canonical scheduled booking reserves inventory; required slot confirmation fails closed before persistence; public errors contain no storage detail","Quotes no longer consume seats and unconfirmed scheduled bookings cannot silently persist","Inventory accuracy, oversell risk, lead conversion and trust",critical,"Route unconditionally bootstrapped/passed slotDate to the atomic RPC and ignored ensureAvailabilitySlotForBooking=false; RPC advanced booked_count when a slot existed and tolerated a missing row","14 focused route/integrity tests + 2040 full tests + candidate-integrity Playwright 16 pass/1 skip + exact build/local+remote browser/smoke",P0-GA-001,M,high,booking+engineering,partially_resolved_preview,"live atomic RPC/RLS/notification/browser completion after data-plane recovery",84988cf,8aKBjCN2veH3BPrjgcpooPVnn7k8,"production old SHA remains down","No live booking, slot mutation or notification delivery exercised; preview proves exact artifact/recovery UI, not backend effect"
P0-GA-016,P0,payment-webhook-ledger,"/api/webhooks/payments/stripe|/api/webhooks/payments/mercadopago",all,system,"Candidate returns 500 when booking or ledger persistence fails; exact replay repairs a missing charge row; Mercado requires a notification ID distinct from payment resource ID","Provider receives non-2xx until durable charge ledger exists; exact replay repairs without repeated state/notification; charge identity cannot move across bookings or regress from refund","Code-level financial divergence is repaired on signed fake-store evidence, but live Data API/RLS/commission/outbox/provider delivery remain unknown","Residual live ledger, refund and accounting certification risk",critical,"Confirmed former route ordering/catch-all/replay short-circuit and MP identity fallback; fixed with detailed outcomes, insert-first unique-boundary recovery and replay repair","33 focused signed route/state/ledger tests; 2053 full tests; exact 77cf5674 build/journey/local+remote recovery browser; no live mutation",P0-GA-001,M,high,payments+engineering,partially_resolved_preview,"live provider delivery + payment_transactions/RLS/commission/outbox verification after data-plane recovery",77cf5674,13SV9JYanV2pCP2ZZwJM9fhrh55f,"production old artifact; data plane down","No provider webhook or payment mutation executed; preview proves artifact and recovery UI only"
P0-GA-017,P0,refund-ledger-integrity,"/api/bookings/[id]/payment/refund|/api/organizer/payments/refund-request|/api/admin/payments/refund*",all,"tourist|organizer|admin","WP-013 fixes source money/ownership/replay; WP-015A adds read-only provider lookup and fail-closed operator classification; mutation recovery remains absent","Captured ledger owns money; provider evidence never authorizes mutation; a token-bound atomic lease owns any retry/finalize","Diagnosis now distinguishes exact/candidate/ambiguous/not-found/unavailable; live RPC/RLS/provider effect and stuck-processing mutation recovery remain unknown","Reduced operator blindness without creating duplicate-refund authority; accounting/customer-balance risk remains until WP-015B",critical,"Provider could succeed before local finalize failed; processing had no external ID/recovery owner; refund externalId was also queried as a payment ID","13 focused reconciliation tests; 2080 full tests; exact d576bae2 build/local browser/smoke; remote health/auth guard; no mutation",P0-GA-001,M,high,payments+security,partially_resolved_preview,"canonical RPC/RLS/provider sandbox plus atomic recovery lease",d576bae2,4wqcePJySZY9xf48tRV7eoZfUCrz,"production old artifact/data plane down","Exact preview unhealthy; remote browser acceptance separately failed as P1-GA-015; no live refund/provider action"
P1-GA-014,P1,booking-replay-integrity,/api/bookings,all,"tourist|guest","WP-014 returns only booking ID and rejects exact replay when the stored owner differs; confirmed same-email account attach preserves the legitimate guest retry","Operation key is actor-bound; first/replay response never contains canonical CRM fields; live RPC must duplicate the owner predicate after verified journal parity","Leaked operation key and payload no longer expose the evolving booking through the public route","Reduced traveler/payment/CRM privacy and account-confusion risk",high,"Deterministic booking ID and command fingerprint excluded actor; service-role RPC returned the complete existing row and route serialized it","21 focused booking actor/response tests; 2070 full tests; exact 84f6244b build/local+remote browser/smoke; no booking mutation",P0-GA-001,M,high,booking+security,partially_resolved_preview,"live RPC/attach/RLS replay plus SQL owner predicate after parity",84f6244b,CJ3fcfursTMefpDtXoJRX7h1TpmN,"production old artifact; data plane down","Immutable preview exact but unhealthy; SQL internal row remains bounded by the single application wrapper until parity"
P1-GA-015,P1,blog-client-reliability,/blog/natsionalnyy-park-iguasu,all,tourist,"WP-017 keeps the valid article visible when the optional marketplace catalog rejects","Editorial article remains visible; optional/live dependencies fail soft without replacing SSR content","Exact preview preserves the cornerstone article during catalog outage; production remains old","SEO trust/content-engagement protected in candidate",high,"Rejected RSC boundary B:1 maps to BlogPostTourEmbeds; ordinary Suspense did not catch fetchMarketplaceTours rejection on total outage/cold LKG","Exact d576bae2 stream digest 572502285; a8efc1e6 local 17/17; immutable preview targeted 1/1 and public/tour 16 pass/1 skip",P0-GA-001,M,high,content+engineering,partially_resolved_preview,"same-artifact production promotion and post-deploy smoke",a8efc1e6,9K5mTZEXjGeWifXFYGMM4FVPLLJk,"production old artifact/data plane down","Preview client-transition issue closed; production proof blocked by P0 data plane"
P0-GA-018,P0,database-target-integrity,"/api/health*|application PG fallbacks|backup|restore|migration|sync|maintenance",all,"system|tourist|authenticated|ops","Application and operational Postgres paths previously accepted raw first-nonempty or substring-matched targets","Every application and operational PG process attests an exact trusted Supabase ref or fails closed","Unknown or mismatched database can no longer satisfy covered reads or receive covered mutations","Prevents cross-project data corruption and false operational evidence",critical,"Runtime precedence-only resolver plus residual raw ESM tooling; cross-project dry-run initially bypassed production confirmation","WP-017 unverified target; WP-019 20 focused + 2095 full + 28 evidence; exact a3301ec9 preview selects verified canonical target",P0-GA-001,M,high,security+database+engineering,partially_resolved_preview,"restore verified target connectivity; production same-artifact proof",a3301ec9,E17wLXYUjTNpHJSN6x1AUQs8rf1J,"production old artifact; target identity not reported","No DDL/env/secret/DB/provider write; attestation proves control path, not live effect"
P1-GA-016,P1,release-evidence,scripts/production-smoke.mjs,all,release,"Recovery smoke accepted /tours/error-* and /excursions/error-* as commercial details","Only href-bound genuine offer detail may satisfy catalog/detail evidence; error/reserved/assets are rejected","Broken preview now yields no detail instead of a false pass","Unsafe promotion and false readiness evidence removed from candidate",high,"Broad whole-document path regex matched Next chunk filenames; fixed by href-bound discovery and reserved/error/page rejection","6 focused + 2095 full + 31 evidence; local exact recovery smoke real links; exact preview broken catalogs return null",P0-GA-001,S,high,release-engineering,partially_resolved_preview,"same-artifact production smoke after healthy data plane",ed29b335,3hwMwixfCmgr5nx8gWkj26SskbJW,"production old artifact false 200 empty","No production promotion; candidate parser is proven, commercial backend remains unavailable"
P1-GA-017,P1,catalog-capacity,"/tours|/excursions|public detail filters",all,tourist,"WP-021 bounds anonymous detail resolution to 3, deduplicates in-flight slugs and shares an attested PG pool max=2 with deadlines","Immutable and healthy multi-instance runs retain bounded pressure with fail-closed unavailable semantics","Local parallel renders no longer exhaust slots; remote/distributed behavior remains unproven","Candidate protects availability and conversion under reproduced local concurrency",high,"Unbounded Promise.all plus one standalone pg.Client per detail, no shared deadlines, and REST errors collapsed to empty/missing","24 focused + 2105 full + 31 evidence; exact d6808a5c build; serial 17/17; cold 5-worker 17/17; zero slot/429/timeout log markers; recovery smoke pass","healthy distributed proof requires P0-GA-001",M,high,reliability+engineering,mitigated_exact_preview,"same-artifact healthy multi-instance load proof",d6808a5c,BMXQzSXBg6o2r22LawaFRUQvLsVp,"production old artifact/data plane down","Vercel deployment later recovered to success; no DDL/env/secret/provider/DB write or promotion"
"P1-GA-018","P1","catalog-rest-resilience","public platform|Tripster|YouTravel catalog reads","all","tourist","WP-022 turns project-wide quota evidence into one process-local cold/open/half-open health signal; higher layers no longer repeat synthetic failures or cache degraded slug snapshots as success","At most one cold/half-open probe per warm process; only quota opens circuit; result/token data never shared; recovery proven before production","Local catalog pages and details fail fast without repeated quota work; distributed recovery remains unproven","Reduces outage latency, log noise and paid Data API amplification while preserving catalog truth","high","HTTP 402 exceed_egress_quota has no error.code; REST-first nested fallbacks and multi-layer logs continued after the first quota signal; degraded aggregate was fulfilled-cacheable for 300s","Live read-only 402; final focused 19/19; full 2113 + evidence 31/31; exact build 929/929; serial and parallel browser 17/17; three concurrent details emit one circuit transition","P0-GA-001; multi-instance healthy proof","M","high","reliability+engineering","mitigated_exact_preview","distributed same-artifact recovery and production proof","4aa7f52c","GWXM4ciE3sQW4jcYfiPeq4gnDcU3","production old 993e82fb/data plane down","Deployment later recovered to success; no DDL/env/secret/provider/DB write or promotion; circuit excludes auth/admin/booking/payment/write paths"
"P1-GA-019","P1","development-supply-chain","eslint toolchain","all","engineering","WP-025 enforces production audit=0 and bounds the exact 9-package dev-only advisory graph through 2026-08-12; the vulnerable upstream chain remains installed","Remove the exception through a compatible upstream graph before expiry; any drift or production finding blocks release","No direct runtime user impact is proven; developer/CI denial-of-service exposure is explicitly time-bounded and monitored","Prevents blind breaking upgrades and silent advisory drift while keeping removal mandatory","medium","Latest ESLint plugins still depend on minimatch 3; patched brace-expansion 5 changes its CommonJS API; Next 16/ESLint 10 does not remove every plugin branch and adds runtime/build migrations","5 policy tests; real production/full audits; audit:quick 2133 + evidence 31; static gate 50; protected build 929/929; exact local browser/recovery smoke","upstream compatible plugin graph before 2026-08-12","S","high","engineering","accepted_time_bounded_exception","policy must fail on production/new package/source/severity/root/expiry/stale-clean drift; then remove with full audit/build/CI","5c79c4cb","blocked: Account is blocked","production runtime dependency graph clean","Exception expires 2026-08-12 and must not be extended without new registry/audit/compatibility evidence"
"P1-GA-020","P1","optional-catalog-latency","blog|blog article|blog hub|author article|destination|place|Iguazu region","all","tourist","WP-023 selects renderable widget/geography candidates before strict partner detail validation and makes optional blog catalog rejection fail soft","Only cards that can render are detail-validated; editorial routes survive optional catalog failure; full catalog surfaces retain strict behavior","Article cold response fell from 23.601 s to 616 ms; blog index renders correct H1 and recovery navigation completes","Content/SEO availability and release evidence no longer wait on dozens of invisible partner details","high","About 68 marketplace listings were queued through FIFO=3 and sequential platform to YouTravel/Tripster fallback before UI selection; a rejected optional index promise also remained in critical Promise.all","51 focused + 2116 full + 31 evidence; build 929/929; browser article/index pass; full recovery smoke pass","P0-GA-001; distributed and production proof","M","high","content+reliability","mitigated_exact_preview","same-artifact healthy production behavior","e22b5885","5HameBiSUPAUurXE8GVT2rouQAtx","production old artifact/data plane down","Deployment later recovered to success; no DDL/env/secret/provider/DB write or promotion; first route-error candidate rejected before commit"
"P1-GA-021","P1","cms-truth-integrity","public CMS reads|comments|CMS-only routes","all","tourist","WP-024 preserves operational CMS failure as typed unavailable; reviewed fallback is outside cache; comments and CMS-only existence return recoverable 503","Confirmed missing/empty only after successful read; degraded fallback never becomes authoritative cache; bounded generic logging","Exact local and preview show article 200 while comments/CMS-only outage are 503, not empty/404","Protects editorial trust SEO and incident evidence without sacrificing reviewed content availability","high","Single/list/detail/comment reads previously shared null/array results for success absence and operational error; blog cache wrapped fallback; client inferred empty from failed comments read","72 focused/related + 2133 full + 31 evidence; protected build 929/929; local recovery smoke; exact preview backend/browser pass","P0-GA-001; healthy recovery and production promotion","M","high","content+reliability","mitigated_exact_preview_active_production","healthy CMS recovery + same-artifact production smoke","d4fbbbc1","9nLoBaDbY1Aq6nnKkgPdPEXypT2e","old 993e82fb still returns 200 empty comments/catalog","No DDL/env/secret/provider/DB write or promotion; preview direct PG remains down"
"P1-GA-022","P1","provider-log-safety","Tripster|YouTravel public fallback and External Orders logs","all","system","WP-026 removes raw provider message/details from structured logs and compatibility exceptions","Log only allowlisted source/errorClass/retryable fields; provider text never crosses the observability or thrown-error boundary","Exact build/runtime quota faults are bounded; production remains on the legacy artifact","Reduces accidental disclosure and noisy provider-coupled diagnostics","medium","Shared logger serialized result.message; compatibility wrappers rethrew it; External Orders logged error.details","33 focused + 2135 full + 31 evidence; 929/929 exact build; real quota build/runtime scan; browser QA","P0-GA-001; stable Vercel deployment","S","high","reliability+security","mitigated_local_candidate","exact preview/runtime log and same-artifact production proof","966be464","blocked: Account is blocked","legacy production logger remains","No checkout/fallback/persistence behavior changed; preview deployment ID absent"
"P1-GA-023","P1","degraded-commercial-latency","/tours|/excursions genuine detail smoke","all","tourist|release","Two consecutive default 15-second recovery smokes reach public pages but time out entering commercial detail validation; genuine tour and excursion details return 200 and a 60-second diagnostic smoke passes","Default recovery smoke passes both genuine details under degraded REST quota without weakening fail-closed semantics or increasing the default SLO","Functional routes are available but release and user latency remains unstable under fallback","Conversion and trustworthy release evidence are blocked by tail latency","high","Root cause not yet isolated; evidence points to degraded quota/fallback work after catalog discovery, not missing/error routes or WP-026 logging","Two default recovery failures; direct details 200 at 6.5s/9.7s; /excursions catalog 14.986s; diagnostic 60-second smoke complete","P0-GA-001; WP-027 trace","M","high","reliability+engineering","confirmed_open","per-stage timing + bounded redundant work + default 15-second smoke pass","966be464","blocked: Account is blocked","production old artifact and data plane down","Do not claim the 60-second diagnostic pass as readiness or relax the default timeout"
P1-I2-001,P1,marketplace-dates,/|/tours,all,tourist,"Homepage/catalog could show the first availableDates entry even when it was already past (e.g. 26–27 June 2026)","Only future-or-today departures in America/Argentina/Buenos_Aires may appear as current dates","User no longer treats an expired trip as bookable","Trust and conversion",high,"Bookable filter skipped platform listings; cards used availableDates[0]","offer-quality + tour-public-display tests",P0-GA-024,S,high,engineering,fixed,"vitest offer-quality + tour-public-display",,,not_deployed,production still on 81055b13
P1-I2-002,P1,partner-copy,marketplace cards,all,tourist,"Partner machine translation could publish nonsense such as frying-pan Argentina copy","Garbage is hidden; no invented substitute","Absurd card text is not shown","Brand/trust",high,"Tripster/YouTravel tagline/annotation passed through unsanitized","content-quality nonsense_translation test",none,S,high,engineering,fixed,"vitest content-quality",,,not_deployed,live feed still BLOCKED_EXTERNAL
P1-I2-003,P1,legacy-kb,/baza-znaniy/viza-rf-v-argentinu,all,tourist,"Old visa FAQ stayed published beside the canonical border article","308 to /baza-znaniy/viza-i-granica-dlya-rossiyan","SEO duplicate and possible dead-end","Organic trust",high,"Two published slugs; no archive redirect_to","knowledge-archive-redirects test + KB index",none,S,high,editorial+engineering,fixed,"redirect generated from archived entity",,,200_on_old_sha,deploy required
P1-I2-004,P1,dormant-leak,search|header|footer,all,tourist,"Search index included shop products; chrome fell back to unfiltered nav when CMS navigation was missing","Fail-closed DEFAULT_SITE_NAVIGATION + modules; shop/forum/car-rental/transfers excluded","User is not sent to 404 dormant modules","Product consistency",medium,"STATIC_PAGES and SHOP_PRODUCTS always indexed; Footer used raw SITE_FOOTER_NAV without navigation","sprint1-stabilization search leak test",sprint7,S,high,engineering,fixed,"buildStaticSearchIndex leak test",,,not_deployed,production footer already clean via launch guards
P2-I2-001,P2,wp-legacy,/st_location/:path*,all,tourist,"WordPress location URLs 404","Hub redirect to /places until GSC slug map exists","Old inbound links reach geography, not homepage","SEO equity",low,"No st_location rule","next.config + LEGACY_WP_REDIRECTS.md",none,S,high,engineering,fixed,"candidate only",,,404_on_old_sha,exact CPT map still accepted/deferred
P1-I3-001,P1,cms-cache,/admin/content/documents,all,admin,"Publish/update left public ISR/catalog caches stale","revalidateTag/revalidatePath after CMS mutations","Editor could publish while the site kept the old page","Trust and operations",high,"No next/cache settle after cms_mutate","cms-public-revalidate + content-server",P0-GA-024,S,high,engineering,fixed,"vitest cms-public-revalidate",,,not_deployed,live persist BLOCKED_EXTERNAL
P1-I3-002,P1,cms-unpublish,/api/admin/content/documents/[id]/unpublish,all,admin,"Unpublish was only a generic PATCH to draft","Dedicated unpublish helper + editor action + cache settle","Operator could not reliably take a page down","Operations",high,"No named unpublish path","unpublishCmsDocument",none,S,high,engineering,fixed,"source + unit",,,not_deployed,live E2E NOT_PROVEN
P1-I3-003,P1,organizer-idor,/api/organizer/tours/[id]/draft,all,organizer,"Missing draft returned empty 200; foreign tour 403 leaked existence; server ACL used seed slugs","404 for missing/foreign; owned slugs from tours.owner_user_id","Cross-organizer data leak risk","Trust / marketplace integrity",critical,"Seed catalog treated as authorization","iteration3-ownership-security tests",none,M,high,engineering,fixed,"vitest iteration3-ownership-security",,,not_deployed,live RLS BLOCKED_EXTERNAL
P1-I3-004,P1,organizer-application,/api/contact + /api/organizer-applications,all,user,"Contact kind organizer_application wrote CRM not applications; unique race returned 500","400 USE_ORGANIZER_APPLICATIONS; 409 on 23505; GET own status","Applications could vanish from the admin queue","Marketplace onboarding",high,"Two writers for one product event","lead-capture-routes + applications route",none,S,high,engineering,fixed,"vitest lead-capture-routes",,,not_deployed,live persist NOT_PROVEN
P1-I3-005,P1,crm-transitions,/api/admin/leads,all,staff,"Lead status any-to-any without audit","Transition matrix + admin_audit_log","Impossible CRM states and no history","Operations",medium,"PATCH trusted body.status","lead-crm-transitions tests",none,S,high,engineering,fixed,"vitest lead-crm-transitions",,,not_deployed,live persist NOT_PROVEN
P1-I3-006,P1,application-rls,organizer_applications,all,staff,"Staff UPDATE policy bypassed the decision RPC","Revoke UPDATE; RPC-only decisions","Unaudited approve/reject races","Security",high,"organizer_applications_update_staff","migration 20260819093000",none,S,high,engineering,fixed,"source contract",,,not_applied,production journal BLOCKED_EXTERNAL
