"id","type","url","locale","title","status","author","editor","reviewer","published_at","updated_at","last_fact_checked_at","next_review_at","word_count","hero_media","inline_media_count","source_count","claim_count","internal_links","external_links","search_indexed","canonical","quality_score","action","owner","notes"
"angastaco","kb_attraction","/baza-znaniy/angastaco","ru","Angastaco","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","61","/media/argentina-travel/angastaco/1625347456843-angastaco_2.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"antofagasta-de-la-sierra","kb_attraction","/baza-znaniy/antofagasta-de-la-sierra","ru","Antofagasta de la Sierra","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","57","/media/argentina-travel/antofagasta-de-la-sierra/1626033976698-mq301083.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"apostil-i-perevod-dokumentov","kb_guide","/baza-znaniy/apostil-i-perevod-dokumentov","ru","Апостиль и перевод документов для Аргентины","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-17","2026-07-17","2026-08-31","235","missing","0","2","0","0","2","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"area-natural-protegida-rio-limay","kb_attraction","/baza-znaniy/area-natural-protegida-rio-limay","ru","Limay River Protected Natural Area","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","65","/media/argentina-travel/area-natural-protegida-rio-limay/1629169425056-_villatraful_mavik2pro_10.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"arenda-avto-i-vozhdenie","kb_transport","/baza-znaniy/arenda-avto-i-vozhdenie","ru","Аренда авто и вождение в Аргентине","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-04","2026-07-04","2026-12-31","587","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Ruta_Nacional_40_km_1930.jpg/1920px-Ruta_Nacional_40_km_1930.jpg","0","3","5","7","3","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"argentina-10-dney","kb_route","/baza-znaniy/argentina-10-dney","ru","Маршрут по Аргентине на 10 дней","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-02","2026-07-02","2026-12-29","688","https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/A_view_of_Iguazu_Falls_from_the_Argentina_side.jpg/1920px-A_view_of_Iguazu_Falls_from_the_Argentina_side.jpg","0","1","0","12","1","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"argentina-2-nedeli","kb_route","/baza-znaniy/argentina-2-nedeli","ru","Маршрут по Аргентине на 2 недели","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-01","2026-07-01","2026-12-28","991","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/155_-_Glacier_Perito_Moreno_-_Panorama_de_la_partie_nord_-_Janvier_2010.jpg/1920px-155_-_Glacier_Perito_Moreno_-_Panorama_de_la_partie_nord_-_Janvier_2010.jpg","0","1","0","8","1","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"argentina-3-nedeli","kb_route","/baza-znaniy/argentina-3-nedeli","ru","Маршрут по Аргентине на 3 недели","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-02","2026-07-02","2026-12-29","764","https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Cachi-Salta-Argentina.jpg/1920px-Cachi-Salta-Argentina.jpg","0","1","0","18","1","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"argentina-vs-drugie-strany","kb_guide","/baza-znaniy/argentina-vs-drugie-strany","ru","Аргентина или другая страна: честное сравнение для переезда","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-17","2026-07-17","2026-08-31","794","missing","0","4","4","13","4","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"arte-urbano-en-buenos-aires","kb_attraction","/baza-znaniy/arte-urbano-en-buenos-aires","ru","Стрит-арт в Буэнос-Айресе","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","272","/media/argentina-travel/arte-urbano-en-buenos-aires/1623532611080-96_dp73674.jpg","0","1","6","0","1","no","not_public","40","HUMAN_REVIEW","Russian content editor","machine_translation_marker"
"artesania-formosena","kb_attraction","/baza-znaniy/artesania-formosena","ru","Handicrafts in Formosa","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","61","/media/argentina-travel/artesania-formosena/1655237953579-casa_de_las_artesanias.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"asado","kb_guide","/baza-znaniy/asado","ru","Асадо: аргентинское барбекю от ритуала до отрубов","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-04","2026-07-04","2026-12-31","603","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Asado_argentino_a_la_parrilla_con_chorizos_y_achuras.jpg/1920px-Asado_argentino_a_la_parrilla_con_chorizos_y_achuras.jpg","0","2","5","5","2","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"astroturismo-en-san-juan","kb_attraction","/baza-znaniy/astroturismo-en-san-juan","ru","Astrotourism in San Juan","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","60","/media/argentina-travel/astroturismo-en-san-juan/1626985314156-sjavistajeestrellasdique_punta_negra_estrellas__1_.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"autodromo-internacional-de-rio-hondo","kb_attraction","/baza-znaniy/autodromo-internacional-de-rio-hondo","ru","Río Hondo International Racetrack","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","66","/media/argentina-travel/autodromo-internacional-de-rio-hondo/1623525099402-moto_gp_termas_de_rio_hondo_02.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"avellaneda","kb_attraction","/baza-znaniy/avellaneda","ru","Avellaneda","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","57","/media/argentina-travel/avellaneda/1644343741638-avellaneda_fauna_003.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"aventura-en-la-patagonia-andina","kb_attraction","/baza-znaniy/aventura-en-la-patagonia-andina","ru","Aventura en la Патагония andina","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","65","/media/argentina-travel/aventura-en-la-patagonia-andina/1624482008010-villa_la_angostura__20_.jpg","0","1","0","0","1","no","not_public","45","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_summary"
"aventura-submarina-en-puerto-madryn","kb_attraction","/baza-znaniy/aventura-submarina-en-puerto-madryn","ru","Submarine adventure in Puerto Madryn","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","63","/media/argentina-travel/aventura-submarina-en-puerto-madryn/1623874664734-21_gb_img_0805_2.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"aves-del-chaco","kb_attraction","/baza-znaniy/aves-del-chaco","ru","Birds from Chaco","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","52","/media/argentina-travel/aves-del-chaco/1644341441095-avistaje_colonia_amadeo_chaco_22.jpg","0","1","0","0","1","no","not_public","0","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary;placeholder_content"
"avistaje-de-aves-en-formosa","kb_attraction","/baza-znaniy/avistaje-de-aves-en-formosa","ru","Bird watching in Formosa","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","69","/media/argentina-travel/avistaje-de-aves-en-formosa/1624387887917-sirir__vientre_negro__dendrocygna_autumnalis____ba_ado_la_estrella","0","1","0","0","1","no","not_public","0","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary;placeholder_content"
"avistaje-de-aves-en-la-pampa","kb_attraction","/baza-znaniy/avistaje-de-aves-en-la-pampa","ru","Наблюдение за птицами в Ла-Пампа","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","232","/media/argentina-travel/avistaje-de-aves-en-la-pampa/1624479563413-lapampa_destino2_avistajeaves_19.jpg","0","1","6","0","1","no","not_public","40","HUMAN_REVIEW","Russian content editor","machine_translation_marker"
"avistaje-de-aves-en-santa-cruz","kb_attraction","/baza-znaniy/avistaje-de-aves-en-santa-cruz","ru","Наблюдение за птицами в Санта-Крусе","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","65","/media/argentina-travel/avistaje-de-aves-en-santa-cruz/1644608596352-dsc_5914__1_.jpg","0","1","0","0","1","no","not_public","80","EXPAND","Content editor","thin_content"
"ba-rajony-realnyj-vybor","kb_author_tip","/baza-znaniy/ba-rajony-realnyj-vybor","ru","«Все едут в Палермо» — не всегда лучший совет туристу или релоканту","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-06-30","2026-06-30","2026-09-28","176","missing","0","1","0","2","0","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"bahia-blanca","kb_city","/baza-znaniy/bahia-blanca","ru","Баия-Бланка","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-06","2026-07-06","2026-10-04","245","missing","0","0","4","2","0","no","not_public","85","LIGHT_EDIT","Media editor","missing_hero"
"banado-la-estrella","kb_national_park","/baza-znaniy/banado-la-estrella","ru","Баньядо-ла-Эстрелья","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-02","2026-07-02","2026-12-29","654","https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Ba%C3%B1ado_La_Estrella.jpg/1920px-Ba%C3%B1ado_La_Estrella.jpg","0","3","5","5","2","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"banki-i-perevody","kb_guide","/baza-znaniy/banki-i-perevody","ru","Перевод денег в Аргентину: безопасная проверка каналов","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-17","2026-07-17","2026-08-31","182","missing","0","3","0","0","3","no","not_public","70","HUMAN_REVIEW","Content editor","not_publication_ready"
"bankovskij-schet","kb_guide","/baza-znaniy/bankovskij-schet","ru","Банковский счёт для мигранта в Аргентине","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-17","2026-07-17","2026-08-31","209","missing","0","2","0","0","2","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"bariloche","kb_city","/baza-znaniy/bariloche","ru","Барилоче","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2027-01-03","387","/media/argentina-travel/bariloche/1623694275857-rio_negro___cordillera___018___parque_llao_llao___lago_moreno.jpg","0","1","5","4","3","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"bariloche-tihie-smotrovye","kb_author_tip","/baza-znaniy/bariloche-tihie-smotrovye","ru","Барилоче: смотровые и берега озера Науэль-Уапи в обход толпы у Кампанарио","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-06-30","2026-06-30","2026-09-28","192","missing","0","1","0","3","0","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"barreal","kb_attraction","/baza-znaniy/barreal","ru","Барреаль и Эль-Леонсито","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-06","2026-07-06","2026-10-04","214","missing","0","0","4","4","0","no","not_public","85","LIGHT_EDIT","Media editor","missing_hero"
"bebidas-y-gastronomia-en-cordoba","kb_attraction","/baza-znaniy/bebidas-y-gastronomia-en-cordoba","ru","Food and Drink in Córdoba","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","54","/media/argentina-travel/bebidas-y-gastronomia-en-cordoba/1624381396861-san_javier_verticales__4_.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"belen","kb_attraction","/baza-znaniy/belen","ru","Belén","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","56","/media/argentina-travel/belen/1626722643696-_mg_9079.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"besplatna-li-medicina-dlya-turista","kb_faq","/baza-znaniy/besplatna-li-medicina-dlya-turista","ru","Бесплатна ли медицина в Аргентине для туриста?","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-17","2026-07-17","2026-08-31","122","missing","0","1","0","0","1","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"bezopasno-li-odnoj-zhenshchine","kb_faq","/baza-znaniy/bezopasno-li-odnoj-zhenshchine","ru","Безопасно ли путешествовать по Аргентине одной женщине?","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-06-30","2026-06-30","2026-08-14","98","missing","0","0","0","0","0","no","not_public","0","LEGAL_REVIEW","Fact checker + legal reviewer","missing_sensitive_source;thin_content"
"bezopasno-li-v-argentine","kb_faq","/baza-znaniy/bezopasno-li-v-argentine","ru","Безопасно ли путешествовать по Аргентине?","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-06-30","2026-06-30","2026-08-14","99","missing","0","0","0","0","0","no","not_public","0","LEGAL_REVIEW","Fact checker + legal reviewer","missing_sensitive_source;thin_content"
"bezopasnost-argentina","kb_guide","/baza-znaniy/bezopasnost-argentina","ru","Безопасность в Аргентине: реальные риски","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-17","2026-07-17","2026-08-31","488","missing","0","4","4","8","4","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"bienal-internacional-de-esculturas-en-resistencia","kb_attraction","/baza-znaniy/bienal-internacional-de-esculturas-en-resistencia","ru","International Sculpture Biennale in Resistencia","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","67","/media/argentina-travel/bienal-internacional-de-esculturas-en-resistencia/1644329344055-resistencia_escultura_fernando.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"bodega-submarina-en-las-grutas","kb_attraction","/baza-znaniy/bodega-submarina-en-las-grutas","ru","An underwater winery in Las Grutas","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","76","/media/argentina-travel/bodega-submarina-en-las-grutas/1625017482689-rio_negro___cordillera___008___parque_nahuel_huapi___cerro_tronado","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"bosque-petrificado","kb_national_park","/baza-znaniy/bosque-petrificado","ru","Национальный парк Окаменевшие леса Харамільо","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-06","2026-07-06","2026-10-04","207","missing","0","1","4","4","0","no","not_public","70","HUMAN_REVIEW","Content editor","not_publication_ready"
"buceo-en-el-golfo-san-matias","kb_attraction","/baza-znaniy/buceo-en-el-golfo-san-matias","ru","Scuba diving at the San Matías Gulf","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","63","/media/argentina-travel/buceo-en-el-golfo-san-matias/1623856401535-23_gb_img_5290.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"buceo-en-las-costas-de-ushuaia","kb_attraction","/baza-znaniy/buceo-en-las-costas-de-ushuaia","ru","Дайвинг у берегов Ушуайи","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","63","/media/argentina-travel/buceo-en-las-costas-de-ushuaia/1637252686235-ac_fz_10.jpg","0","1","0","0","1","no","not_public","80","EXPAND","Content editor","thin_content"
"buenos-aires","kb_city","/baza-znaniy/buenos-aires","ru","Буэнос-Айрес","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-01","2026-07-01","2026-12-28","1187","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/193_-_Buenos_Aires_-_Puerto_Madero_-_Janvier_2010.jpg/1920px-193_-_Buenos_Aires_-_Puerto_Madero_-_Janvier_2010.jpg","0","3","6","8","3","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"buenos-aires-province","kb_region","/baza-znaniy/buenos-aires-province","ru","Провинция Буэнос-Айрес","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-04","2026-07-04","2026-12-31","341","https://upload.wikimedia.org/wikipedia/commons/e/eb/Mar_Del_Plata%2C_Argentina.jpg","0","1","4","7","0","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"buenos-aires-tradicional","kb_attraction","/baza-znaniy/buenos-aires-tradicional","ru","Традиционный Буэнос-Айрес","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","170","/media/argentina-travel/buenos-aires-tradicional/1621356131714-caba__145__2.jpg","0","1","0","0","1","no","not_public","40","HUMAN_REVIEW","Russian content editor","machine_translation_marker"
"byt-i-zhilyo","kb_guide","/baza-znaniy/byt-i-zhilyo","ru","Быт в Аргентине: квартиры, отопление, коммуналка","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-17","2026-07-17","2026-08-31","496","missing","0","2","2","12","2","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"byudzhet-poezdki","kb_guide","/baza-znaniy/byudzhet-poezdki","ru","Бюджет поездки по Аргентине","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-17","2026-07-17","2026-08-31","920","missing","0","4","5","8","2","no","not_public","30","HUMAN_REVIEW","Fact checker + legal reviewer","not_publication_ready"
"caba","kb_region","/baza-znaniy/caba","ru","Буэнос-Айрес (CABA)","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-04","2026-07-04","2026-12-31","380","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/193_-_Buenos_Aires_-_Puerto_Madero_-_Janvier_2010.jpg/1920px-193_-_Buenos_Aires_-_Puerto_Madero_-_Janvier_2010.jpg","0","1","3","12","0","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"cabalgata-en-el-lago-roca","kb_attraction","/baza-znaniy/cabalgata-en-el-lago-roca","ru","Horseback riding in the Roca lake","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","66","/media/argentina-travel/cabalgata-en-el-lago-roca/1625063063947-calafate__31_.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"cabalgata-en-los-molles","kb_attraction","/baza-znaniy/cabalgata-en-los-molles","ru","Horseback riding in Los Molles","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","60","/media/argentina-travel/cabalgata-en-los-molles/1626728554476-dsc_8724.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"cabalgatas-en-cerro-belvedere-y-cascada-inacayal","kb_attraction","/baza-znaniy/cabalgatas-en-cerro-belvedere-y-cascada-inacayal","ru","Конные прогулки к Серро-Бельведере и водопаду Инакайаль","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","65","/media/argentina-travel/cabalgatas-en-cerro-belvedere-y-cascada-inacayal/1625341629211-vla_cabalgata_bosque_2015_efraindavila_com_65.jpg","0","1","0","0","1","no","not_public","80","EXPAND","Content editor","thin_content"
"cabalgatas-en-la-estepa-de-bariloche","kb_attraction","/baza-znaniy/cabalgatas-en-la-estepa-de-bariloche","ru","Конные прогулки по степям Барилоче","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","26","/media/argentina-travel/cabalgatas-en-la-estepa-de-bariloche/1625325372953-rio_negro___estepa___017___paisaje___los_menucos___luna_llena.jpg","0","1","0","0","1","no","not_public","80","EXPAND","Content editor","thin_content"
"cabalgatas-en-las-sierras-bonaerenses","kb_attraction","/baza-znaniy/cabalgatas-en-las-sierras-bonaerenses","ru","Конные прогулки в сьеррах провинции Буэнос-Айрес","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","67","/media/argentina-travel/cabalgatas-en-las-sierras-bonaerenses/1625341227001-buenos_aires_tandil_cabalgata_sonya9_a_908222.jpg","0","1","0","0","1","no","not_public","80","EXPAND","Content editor","thin_content"
"cabalgatas-en-tafi-del-valle","kb_attraction","/baza-znaniy/cabalgatas-en-tafi-del-valle","ru","Horseback riding in Tafí del Valle","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","56","/media/argentina-travel/cabalgatas-en-tafi-del-valle/1621340804939-img_0362.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"cabalgatas-en-valle-chico","kb_attraction","/baza-znaniy/cabalgatas-en-valle-chico","ru","Horseback riding in Valle Chico","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","64","/media/argentina-travel/cabalgatas-en-valle-chico/1625340806743-la_trochita_esquel_5__prensa_esquel_.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"cachi","kb_attraction","/baza-znaniy/cachi","ru","Cachi","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","61","/media/argentina-travel/cachi/1625343815770-salta__125_.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"cafayate","kb_city","/baza-znaniy/cafayate","ru","Кафайяте","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2027-01-03","322","/media/argentina-travel/cafayate/1621346641103-sin_t_tulo_4.jpg","0","1","5","3","1","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"camino-de-la-costa","kb_attraction","/baza-znaniy/camino-de-la-costa","ru","shore road","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","67","/media/argentina-travel/camino-de-la-costa/1644526663597-dsc_4491.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"caminos-de-la-fe-san-juan","kb_attraction","/baza-znaniy/caminos-de-la-fe-san-juan","ru","Paths of faith, San Juan","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","64","/media/argentina-travel/caminos-de-la-fe-san-juan/1626984711033-46__buenos_aires__virgen_luj_n_y_madre_hombres__fel.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
