duplicate_group,left_id,left_url,left_source,right_id,right_url,right_source,detection_method,similarity,classification,risk,recommended_action,evidence
национальныи парк рио пилькомаио,kb:parque-nacional-rio-pilcomayo,/baza-znaniy/parque-nacional-rio-pilcomayo,content/knowledge-base/natsionalnye-parki/parque-nacional-rio-pilcomayo.md,place:parque-nacional-rio-pilcomayo,/places/parque-nacional-rio-pilcomayo,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Национальный парк Рио-Пилькомайо» / «Национальный парк Рио-Пилькомайо».
патагония,kb:patagonia,/baza-znaniy/patagonia,content/knowledge-base/regiony/patagonia.md,destination:patagonia,/destinations/patagonia,src/data/destination-pages.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Патагония» / «Патагония».
национальныи парк патагония,kb:patagonia-park,/baza-znaniy/patagonia-park,content/knowledge-base/natsionalnye-parki/patagonia-park.md,place:patagonia-park,/places/patagonia-park,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Национальный парк Патагония» / «Национальный парк Патагония».
полуостров вальдес,kb:peninsula-valdes,/baza-znaniy/peninsula-valdes,content/knowledge-base/natsionalnye-parki/peninsula-valdes.md,place:valdes-peninsula,/places/valdes-peninsula,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Полуостров Вальдес» / «Полуостров Вальдес».
ледник перито морено,kb:perito-moreno,/baza-znaniy/perito-moreno,content/knowledge-base/dostoprimechatelnosti/perito-moreno.md,place:perito-moreno-glacier,/places/perito-moreno-glacier,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Ледник Перито-Морено» / «Ледник Перито-Морено».
пинамар,kb:pinamar,/baza-znaniy/pinamar,content/knowledge-base/goroda/pinamar.md,place:pinamar,/places/pinamar,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Пинамар» / «Пинамар».
пуэрто мадрин,kb:puerto-madryn,/baza-znaniy/puerto-madryn,content/knowledge-base/goroda/puerto-madryn.md,place:puerto-madryn,/places/puerto-madryn,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Пуэрто-Мадрин» / «Пуэрто-Мадрин».
пунта томбо,kb:punta-tombo,/baza-znaniy/punta-tombo,content/knowledge-base/dostoprimechatelnosti/punta-tombo.md,place:punta-tombo,/places/punta-tombo,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Пунта-Томбо» / «Пунта-Томбо».
пурмамарка,kb:purmamarka,/baza-znaniy/purmamarka,content/knowledge-base/dostoprimechatelnosti/purmamarka.md,place:purmamarca,/places/purmamarca,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Пурмамарка» / «Пурмамарка».
кебрада де умауака,kb:quebrada-de-humahuaca,/baza-znaniy/quebrada-de-humahuaca,content/knowledge-base/dostoprimechatelnosti/quebrada-de-humahuaca.md,place:quebrada-de-humahuaca,/places/quebrada-de-humahuaca,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Кебрада-де-Умауака» / «Кебрада-де-Умауака».
рио гальегос,kb:rio-gallegos,/baza-znaniy/rio-gallegos,content/knowledge-base/dostoprimechatelnosti/rio-gallegos.md,place:rio-gallegos,/places/rio-gallegos,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Рио-Гальегос» / «Рио-Гальегос».
росарио,kb:rosario,/baza-znaniy/rosario,content/knowledge-base/goroda/rosario.md,place:rosario,/places/rosario,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Росарио» / «Росарио».
руины кильмес,kb:ruinas-de-quilmes,/baza-znaniy/ruinas-de-quilmes,content/knowledge-base/dostoprimechatelnosti/ruinas-de-quilmes.md,place:ruinas-de-quilmes,/places/ruinas-de-quilmes,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Руины Кильмес» / «Руины Кильмес».
салинас грандес,kb:salinas-grandes,/baza-znaniy/salinas-grandes,content/knowledge-base/dostoprimechatelnosti/salinas-grandes.md,place:salinas-grandes,/places/salinas-grandes,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Салинас-Грандес» / «Салинас-Грандес».
сальта,kb:salta,/baza-znaniy/salta,content/knowledge-base/goroda/salta.md,destination:salta,/destinations/salta,src/data/destination-pages.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Сальта» / «Сальта».
сальта,kb:salta,/baza-znaniy/salta,content/knowledge-base/goroda/salta.md,place:salta,/places/salta,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Сальта» / «Сальта».
сальта,destination:salta,/destinations/salta,src/data/destination-pages.ts,place:salta,/places/salta,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Сальта» / «Сальта».
сальтос дель моконa,kb:saltos-del-mocona,/baza-znaniy/saltos-del-mocona,content/knowledge-base/dostoprimechatelnosti/saltos-del-mocona.md,place:saltos-del-mocona,/places/saltos-del-mocona,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Сальтос-дель-Моконá» / «Сальтос-дель-Моконá».
сан хуан,kb:san-huan,/baza-znaniy/san-huan,content/knowledge-base/goroda/san-huan.md,place:san-juan,/places/san-juan,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Сан-Хуан» / «Сан-Хуан».
сан игнасио мини,kb:san-ignacio-mini,/baza-znaniy/san-ignacio-mini,content/knowledge-base/dostoprimechatelnosti/san-ignacio-mini.md,place:san-ignacio-mini,/places/san-ignacio-mini,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Сан-Игнасио-Мини» / «Сан-Игнасио-Мини».
сан луис,kb:san-luis,/baza-znaniy/san-luis,content/knowledge-base/goroda/san-luis.md,place:san-luis,/places/san-luis,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Сан-Луис» / «Сан-Луис».
сан мартин де лос андес,kb:san-martin-de-los-andes,/baza-znaniy/san-martin-de-los-andes,content/knowledge-base/goroda/san-martin-de-los-andes.md,place:san-martin-de-los-andes,/places/san-martin-de-los-andes,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Сан-Мартин-де-лос-Андес» / «Сан-Мартин-де-лос-Андес».
сан мигель де тукуман,kb:san-miguel-de-tucuman,/baza-znaniy/san-miguel-de-tucuman,content/knowledge-base/goroda/san-miguel-de-tucuman.md,place:tucuman,/places/tucuman,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Сан-Мигель-де-Тукуман» / «Сан-Мигель-де-Тукуман».
сан сальвадор де жужуи,kb:san-salvador-de-jujuy,/baza-znaniy/san-salvador-de-jujuy,content/knowledge-base/goroda/san-salvador-de-jujuy.md,place:san-salvador-de-jujuy,/places/san-salvador-de-jujuy,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Сан-Сальвадор-де-Жужуй» / «Сан-Сальвадор-де-Жужуй».
санта фе,kb:santa-fe,/baza-znaniy/santa-fe,content/knowledge-base/goroda/santa-fe.md,place:santa-fe,/places/santa-fe,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Санта-Фе» / «Санта-Фе».
санта роса,kb:santa-rosa,/baza-znaniy/santa-rosa,content/knowledge-base/goroda/santa-rosa.md,place:santa-rosa,/places/santa-rosa,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Санта-Роса» / «Санта-Роса».
сантьяго дель эстеро,kb:santiago-del-estero,/baza-znaniy/santiago-del-estero,content/knowledge-base/goroda/santiago-del-estero.md,place:santiago-del-estero,/places/santiago-del-estero,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Сантьяго-дель-Эстеро» / «Сантьяго-дель-Эстеро».
сьерра де ла вентана,kb:sierra-de-la-ventana,/baza-znaniy/sierra-de-la-ventana,content/knowledge-base/dostoprimechatelnosti/sierra-de-la-ventana.md,place:sierra-de-la-ventana,/places/sierra-de-la-ventana,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Сьерра-де-ла-Вентана» / «Сьерра-де-ла-Вентана».
национальныи парк сьерра де лас кихадас,kb:sierra-de-las-quijadas,/baza-znaniy/sierra-de-las-quijadas,content/knowledge-base/natsionalnye-parki/sierra-de-las-quijadas.md,place:sierra-de-las-quijadas,/places/sierra-de-las-quijadas,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Национальный парк Сьерра-де-лас-Кихадас» / «Национальный парк Сьерра-де-лас-Кихадас».
сускес,kb:susques,/baza-znaniy/susques,content/knowledge-base/goroda/susques.md,place:susques,/places/susques,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Сускес» / «Сускес».
тафи дель валье,kb:tafi-del-valle,/baza-znaniy/tafi-del-valle,content/knowledge-base/dostoprimechatelnosti/tafi-del-valle.md,place:tafi-del-valle,/places/tafi-del-valle,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Тафи-дель-Валье» / «Тафи-дель-Валье».
тандиль,kb:tandil,/baza-znaniy/tandil,content/knowledge-base/goroda/tandil.md,place:tandil,/places/tandil,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Тандиль» / «Тандиль».
термас де рио ондо,kb:termas-de-rio-hondo,/baza-znaniy/termas-de-rio-hondo,content/knowledge-base/dostoprimechatelnosti/termas-de-rio-hondo.md,place:termas-de-rio-hondo,/places/termas-de-rio-hondo,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Термас-де-Рио-Ондо» / «Термас-де-Рио-Ондо».
ушуаия,kb:ushuaia,/baza-znaniy/ushuaia,content/knowledge-base/goroda/ushuaia.md,destination:ushuaia,/destinations/ushuaia,src/data/destination-pages.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Ушуайя» / «Ушуайя».
ушуаия,kb:ushuaia,/baza-znaniy/ushuaia,content/knowledge-base/goroda/ushuaia.md,place:ushuaia,/places/ushuaia,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Ушуайя» / «Ушуайя».
ушуаия,destination:ushuaia,/destinations/ushuaia,src/data/destination-pages.ts,place:ushuaia,/places/ushuaia,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Ушуайя» / «Ушуайя».
вилья хесель,kb:villa-gesell,/baza-znaniy/villa-gesell,content/knowledge-base/goroda/villa-gesell.md,place:villa-gesell,/places/villa-gesell,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Вилья-Хесель» / «Вилья-Хесель».
вилья ла ангостура,kb:villa-la-angostura,/baza-znaniy/villa-la-angostura,content/knowledge-base/goroda/villa-la-angostura.md,place:villa-la-angostura,/places/villa-la-angostura,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Вилья-Ла-Ангостура» / «Вилья-Ла-Ангостура».
вильявисенсио,kb:villavicencio,/baza-znaniy/villavicencio,content/knowledge-base/dostoprimechatelnosti/villavicencio.md,place:villavicencio,/places/villavicencio,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Вильявисенсио» / «Вильявисенсио».
asado в аргентине как заказать куда идти и сколько ждать,blog:buenos-aires-asado,/blog/buenos-aires-asado,src/data/blog-content-plan.ts,blog:food-asado,/blog/food-asado,src/data/blog-content-plan.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,"Совпадение заголовков: «Asado в Аргентине: как заказать, куда идти и сколько ждать» / «Asado в Аргентине: как заказать, куда идти и сколько ждать»."
malbec в мендосе сорта bodega и дегустации,blog:food-malbec,/blog/food-malbec,src/data/blog-content-plan.ts,blog:wine-malbec,/blog/wine-malbec,src/data/blog-content-plan.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,"Совпадение заголовков: «Malbec в Мендосе: сорта, bodega и дегустации» / «Malbec в Мендосе: сорта, bodega и дегустации»."
