"source_id","entry_id","url","source_title","source_url","source_type","authority","url_status","checked_at","language","note","official","status","owner","evidence"
"indec-consumer-price-index","argentina-vs-drugie-strany","/baza-znaniy/argentina-vs-drugie-strany","INDEC — индекс потребительских цен","https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-5-31","official","primary","verified","2026-07-17","es","Официальный источник для проверки текущей инфляции и изменения стоимости жизни.","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"arte-urbano-en-buenos-aires:source:1","arte-urbano-en-buenos-aires","/baza-znaniy/arte-urbano-en-buenos-aires","Visit Argentina — Arte urbano en Buenos Aires","https://www.argentina.travel/actividades/arte-urbano-en-buenos-aires","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"artesania-formosena:source:1","artesania-formosena","/baza-znaniy/artesania-formosena","Visit Argentina — Artesanía formoseña","https://www.argentina.travel/actividades/artesania-formosena","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"asado:source:1","asado","/baza-znaniy/asado","Wikipedia (ES) — Asado","https://es.wikipedia.org/wiki/Asado","aggregator","not_recorded","not_recorded","not_recorded","es","определение, ритуал, роль асадора, региональные различия, achuras","no_or_not_recorded","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"asado:source:2","asado","/baza-znaniy/asado","Wikipedia (EN) — Asado","https://en.wikipedia.org/wiki/Asado","aggregator","not_recorded","not_recorded","not_recorded","en","отрубы, tira de asado, vacío, порядок подачи, tira/costilla","no_or_not_recorded","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"astroturismo-en-san-juan:source:1","astroturismo-en-san-juan","/baza-znaniy/astroturismo-en-san-juan","Visit Argentina — Astroturismo en San Juan","https://www.argentina.travel/actividades/astroturismo-en-san-juan","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"autodromo-internacional-de-rio-hondo:source:1","autodromo-internacional-de-rio-hondo","/baza-znaniy/autodromo-internacional-de-rio-hondo","Visit Argentina — Autódromo Internacional de Río Hondo","https://www.argentina.travel/actividades/autodromo-internacional-de-rio-hondo","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"avellaneda:source:1","avellaneda","/baza-znaniy/avellaneda","Visit Argentina — Avellaneda","https://www.argentina.travel/actividades/avellaneda","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"aventura-en-la-patagonia-andina:source:1","aventura-en-la-patagonia-andina","/baza-znaniy/aventura-en-la-patagonia-andina","Visit Argentina — Aventura en la Patagonia andina","https://www.argentina.travel/actividades/aventura-en-la-patagonia-andina","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"aventura-submarina-en-puerto-madryn:source:1","aventura-submarina-en-puerto-madryn","/baza-znaniy/aventura-submarina-en-puerto-madryn","Visit Argentina — Aventura submarina en Puerto Madryn","https://www.argentina.travel/actividades/aventura-submarina-en-puerto-madryn","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"visit-argentina-chaco-birds","aves-del-chaco","/baza-znaniy/aves-del-chaco","Visit Argentina — Aves del Chaco","https://www.argentina.travel/actividades/aves-del-chaco","official","primary","verified","2026-07-20","es","not_recorded","yes","verified","Content editor","content/knowledge-base/_index/content.json"
"apn-impenetrable-profile","aves-del-chaco","/baza-znaniy/aves-del-chaco","Administración de Parques Nacionales — Parque Nacional El Impenetrable","https://www.argentina.gob.ar/parquesnacionales/nea/parque-nacional-el-impenetrable","official","primary","verified","2026-07-20","es","not_recorded","yes","verified","Content editor","content/knowledge-base/_index/content.json"
"apn-impenetrable-access","aves-del-chaco","/baza-znaniy/aves-del-chaco","Administración de Parques Nacionales — horarios y accesos de El Impenetrable","https://www.argentina.gob.ar/parquesnacionales/nea/parque-nacional-el-impenetrable/horarios-como-llegar","official","primary","verified","2026-07-20","es","not_recorded","yes","verified","Content editor","content/knowledge-base/_index/content.json"
"avistaje-de-aves-en-formosa:source:1","avistaje-de-aves-en-formosa","/baza-znaniy/avistaje-de-aves-en-formosa","Visit Argentina — Avistaje de aves en Formosa","https://www.argentina.travel/actividades/avistaje-de-aves-en-formosa","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"avistaje-de-aves-en-la-pampa:source:1","avistaje-de-aves-en-la-pampa","/baza-znaniy/avistaje-de-aves-en-la-pampa","Visit Argentina — Avistaje de aves en La Pampa","https://www.argentina.travel/actividades/avistaje-de-aves-en-la-pampa","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"avistaje-de-aves-en-santa-cruz:source:1","avistaje-de-aves-en-santa-cruz","/baza-znaniy/avistaje-de-aves-en-santa-cruz","Visit Argentina — Avistaje de aves en Santa Cruz","https://www.argentina.travel/actividades/avistaje-de-aves-en-santa-cruz","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"ba-rajony-realnyj-vybor:source:1","ba-rajony-realnyj-vybor","/baza-znaniy/ba-rajony-realnyj-vybor","Города-Буэнос-Айрес-районы.md — разделы «Практические советы» и «Частые ошибки»","","aggregator","not_recorded","not_recorded","not_recorded","ru","извлечено из готового лонгрида проекта","no_or_not_recorded","review_required","Content editor","content/knowledge-base/_index/content.json"
"bahia-blanca:source:1","bahia-blanca","/baza-znaniy/bahia-blanca","Visit Argentina (INPROTUR)","https://www.argentina.travel/","official","not_recorded","not_recorded","not_recorded","es","not_recorded","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"banado-la-estrella:source:1","banado-la-estrella","/baza-znaniy/banado-la-estrella","Provincia de Formosa — Formosa Hermosa, Bañado La Estrella","https://www.formosahermosa.gob.ar/banado-la-estrella/","official","not_recorded","not_recorded","not_recorded","es","официальная провинциальная информация","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"banado-la-estrella:source:2","banado-la-estrella","/baza-znaniy/banado-la-estrella","La Ruta Natural (Ministerio de Turismo, Argentina) — Bañado La Estrella","https://www.larutanatural.gob.ar/es/imperdible/133/banado-la-estrella","official","not_recorded","not_recorded","not_recorded","es","not_recorded","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"banado-la-estrella:source:3","banado-la-estrella","/baza-znaniy/banado-la-estrella","Wikipedia (ES) — Bañado La Estrella","https://es.wikipedia.org/wiki/Ba%C3%B1ado_La_Estrella","aggregator","not_recorded","not_recorded","not_recorded","es","площадь, статус «7 чудес природы Аргентины» (2019)","no_or_not_recorded","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"western-union-send-to-argentina","banki-i-perevody","/baza-znaniy/banki-i-perevody","Western Union — Send Money to Argentina","https://www.westernunion.com/us/en/send-money-to-argentina.html","official","primary","verified","2026-08-21","en","Официальный интерфейс провайдера для проверки доступности, курса, комиссии и способа получения по конкретной операции.","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"bcra-cbu-cvu-education","banki-i-perevody","/baza-znaniy/banki-i-perevody","BCRA — CBU, CVU и alias","https://www.bcra.gob.ar/Pdfs/BCRAyVos/Educ.%20Financiera_agosto_2023.pdf","official","primary","verified","2026-08-21","es","Определяет реквизиты банковских и виртуальных счетов Аргентины.","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"bcra-authorized-foreign-exchange","banki-i-perevody","/baza-znaniy/banki-i-perevody","BCRA — валютные операции через уполномоченные организации","https://www.bcra.gob.ar/noticias/el-bcra-aclara-que-no-hay-ningun-cambio-normativo-para-la-compra-de-dolares-por-parte-de-las-personas-humanas/","official","primary","verified","2026-08-21","es","Подтверждает допустимые официальные каналы валютных операций.","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"argentina-migrant-bank-account","bankovskij-schet","/baza-znaniy/bankovskij-schet","Argentina.gob.ar — Cuenta para migrantes","https://www.argentina.gob.ar/economia/inclusion-financiera/cuenta-para-migrantes","official","primary","verified","2026-07-17","es","Описывает бесплатную caja de ahorro en pesos, допустимые документы для мигрантов и основные возможности счёта.","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"bcra-cbu-cvu-education","bankovskij-schet","/baza-znaniy/bankovskij-schet","BCRA — идентификация банковских и виртуальных счетов","https://www.bcra.gob.ar/Pdfs/BCRAyVos/Educ.%20Financiera_agosto_2023.pdf","official","primary","verified","2026-07-17","es","Определяет CBU и CVU как 22-значные идентификаторы банковских и виртуальных счетов и объясняет alias.","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"bariloche:source:1","bariloche","/baza-znaniy/bariloche","Visit Argentina — Bariloche","https://www.argentina.travel/actividades/bariloche","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"bariloche-tihie-smotrovye:source:1","bariloche-tihie-smotrovye","/baza-znaniy/bariloche-tihie-smotrovye","Национальный-парк-Науэль-Уапи.md — раздел «Советы местного гида»","","aggregator","not_recorded","not_recorded","not_recorded","ru","извлечено из готового лонгрида проекта","no_or_not_recorded","review_required","Content editor","content/knowledge-base/_index/content.json"
"barreal:source:1","barreal","/baza-znaniy/barreal","Visit Argentina (INPROTUR)","https://www.argentina.travel/","official","not_recorded","not_recorded","not_recorded","es","not_recorded","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"bebidas-y-gastronomia-en-cordoba:source:1","bebidas-y-gastronomia-en-cordoba","/baza-znaniy/bebidas-y-gastronomia-en-cordoba","Visit Argentina — Bebidas y Gastronomía en Córdoba","https://www.argentina.travel/actividades/bebidas-y-gastronomia-en-cordoba","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"belen:source:1","belen","/baza-znaniy/belen","Visit Argentina — Belén","https://www.argentina.travel/actividades/belen","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"argentina-dnu-366-2025-health","besplatna-li-medicina-dlya-turista","/baza-znaniy/besplatna-li-medicina-dlya-turista","Decreto DNU 366/2025 — статья 8 Закона о миграции","https://www.argentina.gob.ar/normativa/nacional/decreto-366-2025-413297/texto","official","primary","verified","2026-08-21","es","Подтверждает доступ к экстренной помощи и правило полиса либо предварительной оплаты обычной помощи в учреждениях национального уровня.","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"argentina-line-144","bezopasno-li-odnoj-zhenshchine","/baza-znaniy/bezopasno-li-odnoj-zhenshchine","Argentina.gob.ar — линия 144","https://www.argentina.gob.ar/linea-144","official","primary","verified","2026-08-21","es","not_recorded","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"argentina-emergency-contacts-women","bezopasno-li-odnoj-zhenshchine","/baza-znaniy/bezopasno-li-odnoj-zhenshchine","Argentina.gob.ar — экстренные службы","https://www.argentina.gob.ar/tema/emergencias","official","primary","verified","2026-08-21","es","not_recorded","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"uk-argentina-safety-women","bezopasno-li-odnoj-zhenshchine","/baza-znaniy/bezopasno-li-odnoj-zhenshchine","UK FCDO — безопасность и риски в Аргентине","https://www.gov.uk/foreign-travel-advice/argentina/safety-and-security","official","primary","verified","2026-08-21","en","not_recorded","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"uk-argentina-safety-advice","bezopasno-li-v-argentine","/baza-znaniy/bezopasno-li-v-argentine","UK FCDO — безопасность в Аргентине","https://www.gov.uk/foreign-travel-advice/argentina/safety-and-security","official","primary","verified","2026-08-21","en","not_recorded","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"canada-argentina-safety-advice","bezopasno-li-v-argentine","/baza-znaniy/bezopasno-li-v-argentine","Government of Canada — рекомендации по безопасности в Аргентине","https://travel.gc.ca/destinations/argentina","official","primary","verified","2026-08-21","en","not_recorded","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"argentina-emergency-contacts","bezopasno-li-v-argentine","/baza-znaniy/bezopasno-li-v-argentine","Argentina.gob.ar — экстренные службы","https://www.argentina.gob.ar/tema/emergencias","official","primary","verified","2026-08-21","es","not_recorded","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"argentina-parks-safety-advice","bezopasno-li-v-argentine","/baza-znaniy/bezopasno-li-v-argentine","Administración de Parques Nacionales — рекомендации посетителям","https://www.argentina.gob.ar/parquesnacionales/recomendaciones-para-tu-visita","official","primary","verified","2026-08-21","es","not_recorded","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"argentina-national-parks-visitor-safety","bezopasnost-argentina","/baza-znaniy/bezopasnost-argentina","Administración de Parques Nacionales — рекомендации посетителям","https://www.argentina.gob.ar/parquesnacionales/recomendaciones-para-tu-visita","official","primary","verified","2026-07-17","es","Подтверждает природные риски, необходимость следовать правилам парка и проверять рекомендации перед посещением.","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"argentina-911-emergencies","bezopasnost-argentina","/baza-znaniy/bezopasnost-argentina","Ministerio de Seguridad Nacional — 911 Emergencias","https://www.argentina.gob.ar/seguridad/911emergencias","official","primary","verified","2026-07-17","es","Подтверждает номер 911 и порядок сообщения об экстренной ситуации.","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"buenos-aires-tourist-assistance","bezopasnost-argentina","/baza-znaniy/bezopasnost-argentina","Buenos Aires Ciudad — полезная информация для туристов","https://turismo.buenosaires.gob.ar/es/informacion-qr-guias","official","primary","verified","2026-07-17","es","Подтверждает туристические службы безопасности и экстренные контакты CABA.","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
