route_pattern,page_file,render_mode,primary_components,data_and_domain_dependencies,access_boundary,metadata_evidence,e2e_declaration,risk_or_unverified_area
/admin/feature-flags,src/app/admin/feature-flags/page.tsx,server page,@/components/admin/views/FeatureFlagsView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/feature-flags,authenticated success state absent from generic guest crawl
/admin/leads,src/app/admin/leads/page.tsx,server page,inline/local rendering,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/leads,authenticated success state absent from generic guest crawl; rendering inline or local
/admin/marketplace/excursions,src/app/admin/marketplace/excursions/page.tsx,server page,@/components/admin/views/ExcursionsView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/marketplace/excursions,authenticated success state absent from generic guest crawl
/admin/marketplace/experts,src/app/admin/marketplace/experts/page.tsx,server page,@/components/admin/views/MarketplaceExpertsView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/marketplace/experts,authenticated success state absent from generic guest crawl
/admin/marketplace/moderation,src/app/admin/marketplace/moderation/page.tsx,server page,@/components/admin/views/ModerationView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/marketplace/moderation,authenticated success state absent from generic guest crawl
/admin/marketplace/organizers,src/app/admin/marketplace/organizers/page.tsx,server page,@/components/admin/views/MarketplaceOrganizersView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/marketplace/organizers,authenticated success state absent from generic guest crawl
/admin/marketplace/tours,src/app/admin/marketplace/tours/page.tsx,server page,@/components/admin/views/ToursView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/marketplace/tours,authenticated success state absent from generic guest crawl
/admin/media,src/app/admin/media/page.tsx,server page,@/components/admin/views/MediaLibraryView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/media,authenticated success state absent from generic guest crawl
/admin/operations/bookings,src/app/admin/operations/bookings/page.tsx,server page,@/components/admin/views/BookingsView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/operations/bookings,authenticated success state absent from generic guest crawl
/admin/operations/leads,src/app/admin/operations/leads/page.tsx,server page,@/components/admin/views/LeadsView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/operations/leads,authenticated success state absent from generic guest crawl
/admin/operations,src/app/admin/operations/page.tsx,server page,@/components/admin/views/OperationsCommandView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/operations,authenticated success state absent from generic guest crawl
/admin/operations/payments,src/app/admin/operations/payments/page.tsx,server page,@/components/admin/views/AdminPaymentsView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/operations/payments,authenticated success state absent from generic guest crawl
/admin/operations/privacy-requests,src/app/admin/operations/privacy-requests/page.tsx,server page,@/components/admin/views/PrivacyRequestsView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/operations/privacy-requests,authenticated success state absent from generic guest crawl
/admin/operations/reconciliation,src/app/admin/operations/reconciliation/page.tsx,server page,@/components/admin/views/AdminPaymentsView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/operations/reconciliation,authenticated success state absent from generic guest crawl
/admin/operations/shop-orders,src/app/admin/operations/shop-orders/page.tsx,server page,@/components/admin/views/ShopOrdersView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/operations/shop-orders,authenticated success state absent from generic guest crawl
/admin,src/app/admin/page.tsx,client page,@/components/admin/AdminTrendChart|@/components/admin/AdminSidebar|@/components/admin/CapabilityGate|@/components/ui/native-select|@/components/workspace/ActionQueue,@/lib/admin/format|@/lib/cabinet-ui,admin,not declared in page file,declared ux-audit:/admin;direct refs:stage2-visual-acceptance.spec.ts,authenticated success state absent from generic guest crawl
/admin/system/api-keys,src/app/admin/system/api-keys/page.tsx,server page,@/components/admin/views/AdminApiKeysView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/system/api-keys,authenticated success state absent from generic guest crawl
/admin/system/audit,src/app/admin/system/audit/page.tsx,server page,@/components/admin/views/AuditLogView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/system/audit,authenticated success state absent from generic guest crawl
/admin/system/redirects,src/app/admin/system/redirects/page.tsx,server page,@/components/admin/views/RedirectsView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/system/redirects,authenticated success state absent from generic guest crawl
/admin/system/settings,src/app/admin/system/settings/page.tsx,server page,@/components/admin/views/SettingsView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/system/settings,authenticated success state absent from generic guest crawl
/admin/system/staff,src/app/admin/system/staff/page.tsx,server page,@/components/admin/views/StaffView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/system/staff,authenticated success state absent from generic guest crawl
/admin/users,src/app/admin/users/page.tsx,server page,@/components/admin/views/UsersView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/users,authenticated success state absent from generic guest crawl
/audio-guides/[id],src/app/audio-guides/[id]/page.tsx,server page with async data,@/components/audio-guides/AudioGuideDetailView,@/lib/wegottrip/client|@/lib/page-metadata,public,generateMetadata,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; not resolved by UX route manifest
/audio-guides,src/app/audio-guides/page.tsx,server page,@/components/audio-guides/AudioGuidesCatalogView|@/components/seo/WebPageJsonLd,@/lib/page-metadata,public,static metadata,declared ux-audit:/audio-guides,no source-level exception recorded
/auth/error,src/app/auth/error/page.tsx,server page,inline/local rendering,no imported data/domain dependency,public_utility,not declared in page file,declared ux-audit:/auth/error;direct refs:auth-flow.spec.ts,rendering inline or local
/auth/reset-password,src/app/auth/reset-password/page.tsx,server page,inline/local rendering,no imported data/domain dependency,public_utility,not declared in page file,declared ux-audit:/auth/reset-password,rendering inline or local
/baza-znaniy/[slug],src/app/baza-znaniy/[slug]/page.tsx,server page with async data,@/components/knowledge-base/KbBreadcrumbs|@/components/knowledge-base/KbCallout|@/components/knowledge-base/KbEditorialNotice|@/components/knowledge-base/KbFactPanel|@/components/knowledge-base/KbRelated|@/components/knowledge-base/KbSideNav|@/components/knowledge-base/KbSources|@/components/knowledge-base/KbToc|@/components/seo/BreadcrumbListJsonLd|@/components/seo/ContentArticleJsonLd,@/lib/knowledge-base/content|@/lib/content-json-ld|@/lib/knowledge-base/kb-breadcrumbs-json-ld|@/lib/knowledge-base/labels|@/lib/knowledge-base/markdown|@/lib/knowledge-base/types|@/lib/knowledge-base/urls|@/lib/build-static-limits|@/lib/page-metadata,public,generateMetadata,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; not resolved by UX route manifest
/baza-znaniy,src/app/baza-znaniy/page.tsx,server page with async data,@/components/knowledge-base/KbHubCard|@/components/knowledge-base/KbSearchBox|@/components/seo/BreadcrumbListJsonLd|@/components/seo/WebPageJsonLd,@/lib/knowledge-base/content|@/lib/detail-breadcrumbs|@/lib/i18n/server-locale|@/lib/page-metadata,public,static metadata,declared ux-audit:/baza-znaniy,no source-level exception recorded
/baza-znaniy/poisk,src/app/baza-znaniy/poisk/page.tsx,server page with async data,@/components/knowledge-base/KbBreadcrumbs|@/components/knowledge-base/KbSearch,@/lib/knowledge-base/content,public,static metadata,declared ux-audit:/baza-znaniy/poisk,no source-level exception recorded
/baza-znaniy/razdel/[slug],src/app/baza-znaniy/razdel/[slug]/page.tsx,server page with async data,@/components/knowledge-base/KbBreadcrumbs|@/components/knowledge-base/KbEntryCard|@/components/knowledge-base/KbSearchBox|@/components/knowledge-base/KbSideNav|@/components/seo/BreadcrumbListJsonLd|@/components/seo/WebPageJsonLd,@/lib/knowledge-base/content|@/lib/detail-breadcrumbs|@/lib/i18n/server-locale|@/lib/page-metadata,public,generateMetadata,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; not resolved by UX route manifest
/blog/[slug],src/app/blog/[slug]/page.tsx,server page with async data,@/components/blog/BlogPostView|@/components/i18n/TranslationPreparingBanner|@/components/seo/ArticleJsonLd|@/components/seo/BlogFaqJsonLd,@/data/marketplace-tours-server|@/data/blog|@/lib/cms/content-resolver|@/lib/cms/blog-resolver|@/lib/blog-slug-resolve|@/lib/cms/cms-cutover|@/lib/cms/cms-hreflang|@/lib/i18n/server-locale|@/lib/page-metadata|@/lib/blog-utils|@/lib/site-url,public,generateMetadata,declared ux-audit:/blog/buenos-aires-rajony;direct refs:smoke.spec.ts|stage2-visual-acceptance.spec.ts|visual-smoke.spec.ts,dynamic fixture/data not exhaustively enumerated
/blog/author/[slug],src/app/blog/author/[slug]/page.tsx,server page with async data,@/components/blog/BlogPostView|@/components/i18n/TranslationPreparingBanner|@/components/seo/ArticleJsonLd|@/components/seo/BlogFaqJsonLd,@/data/marketplace-tours-server|@/lib/cms/content-resolver|@/lib/cms/author-article-resolver|@/lib/cms/cms-hreflang|@/lib/i18n/server-locale|@/lib/page-metadata|@/lib/site-url,public,generateMetadata,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; not resolved by UX route manifest
/blog/authors/[slug],src/app/blog/authors/[slug]/page.tsx,server page with async data,@/components/blog/BlogCard|@/components/navigation/PageBreadcrumbs,@/data/blog|@/lib/cms/blog-resolver|@/lib/blog-authors|@/lib/blog-utils|@/lib/i18n/hreflang|@/lib/i18n/server-locale|@/lib/page-metadata|@/lib/cn|@/lib/site-container,public,generateMetadata,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; not resolved by UX route manifest
/blog/authors,src/app/blog/authors/page.tsx,server page with async data,@/components/blog/BlogAuthorsGrid|@/components/navigation/PageBreadcrumbs,@/lib/cms/blog-resolver|@/lib/blog-authors|@/lib/blog-utils|@/lib/i18n/hreflang|@/lib/i18n/server-locale|@/lib/page-metadata|@/lib/cn|@/lib/site-container,public,static metadata,declared ux-audit:/blog/authors,no source-level exception recorded
/blog/hub/[hubId],src/app/blog/hub/[hubId]/page.tsx,server page with async data,@/components/blog/BlogHubView,@/data/blog-hubs|@/lib/cms/blog-resolver|@/data/marketplace-tours-server|@/lib/i18n/hreflang|@/lib/i18n/server-locale|@/lib/page-metadata,public,generateMetadata,declared ux-audit:/blog/hub/national-parks,dynamic fixture/data not exhaustively enumerated
/blog,src/app/blog/page.tsx,server page with async data,@/components/blog/BlogIndexView|@/components/blog/BlogIndexHero|@/components/seo/BreadcrumbListJsonLd,@/lib/detail-breadcrumbs|@/lib/cms/blog-resolver|@/lib/blog-analytics-signals|@/lib/blog-utils|@/lib/blog-reading-history-cookie|@/lib/blog-hero-variant-cookie|@/lib/auth-mode|@/lib/supabase/server|@/lib/supabase-auth-provider|@/lib/i18n/hreflang|@/lib/i18n/server-locale|@/lib/page-metadata,public,static metadata,declared ux-audit:/blog;direct refs:smoke.spec.ts|stage2-visual-acceptance.spec.ts|visual-smoke.spec.ts,no source-level exception recorded
/booking/find,src/app/booking/find/page.tsx,server page,@/components/booking/BookingLookupView,no imported data/domain dependency,public_utility,static metadata,declared ux-audit:/booking/find;direct refs:booking-lookup-security.spec.ts|smoke.spec.ts|stage2-visual-acceptance.spec.ts,no source-level exception recorded
/booking/pay/[token],src/app/booking/pay/[token]/page.tsx,server page with async data,@/components/booking/BookingPaymentLinkView,no imported data/domain dependency,public_token,static metadata,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; not resolved by UX route manifest
/booking/pay/[token]/result,src/app/booking/pay/[token]/result/page.tsx,server page with async data,@/components/booking/BookingPaymentResultView,no imported data/domain dependency,public_token,static metadata,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; not resolved by UX route manifest
/booking/travelers/[token],src/app/booking/travelers/[token]/page.tsx,server page with async data,@/components/booking/BookingTravelersFormView,no imported data/domain dependency,public_token,static metadata,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; not resolved by UX route manifest
/car-rental,src/app/car-rental/page.tsx,server page,@/components/car-rental/CarRentalView|@/components/seo/WebPageJsonLd,@/lib/page-metadata,public,static metadata,declared ux-audit:/car-rental,no source-level exception recorded
/collections/[slug],src/app/collections/[slug]/page.tsx,server page with async data,@/components/collections/CollectionDetailView|@/components/seo/CollectionItemListJsonLd,@/lib/page-metadata|@/lib/places-repository,public,generateMetadata,declared ux-audit:/collections/patagonia-highlights,dynamic fixture/data not exhaustively enumerated
/collections,src/app/collections/page.tsx,server page with async data,@/components/collections/CollectionsIndexView,@/lib/i18n/hreflang|@/lib/page-metadata|@/lib/media-resolver|@/lib/places-repository,public,static metadata,declared ux-audit:/collections,no source-level exception recorded
/contacts,src/app/contacts/page.tsx,server page with async data,@/components/contacts/ContactsPageClient|@/components/seo/BreadcrumbListJsonLd|@/components/seo/WebPageJsonLd,@/lib/page-metadata|@/lib/i18n/hreflang|@/lib/i18n/server-locale|@/lib/locale-breadcrumbs|@/lib/media-resolver|@/lib/site-settings-server|@/lib/static-page-copy,public,generateMetadata,declared ux-audit:/contacts;direct refs:stage2-visual-acceptance.spec.ts,no source-level exception recorded
/destinations/[slug],src/app/destinations/[slug]/page.tsx,server page with async data,@/components/destinations/DestinationDetailView|@/components/social-feed/SocialFeed|@/components/flights/DestinationFlightSidebar|@/components/i18n/TranslationPreparingBanner|@/components/seo/BreadcrumbListJsonLd|@/components/seo/FlightOffersJsonLd|@/components/seo/TouristDestinationJsonLd,@/lib/detail-breadcrumbs|@/lib/cms/destination-resolver|@/lib/cms/cms-hreflang|@/lib/cms/content-resolver|@/data/marketplace-tours-server|@/lib/flights/hub-price-teasers|@/lib/i18n/server-locale|@/lib/knowledge-internal-links|@/lib/site-url,public,generateMetadata,declared ux-audit:/destinations/patagonia;direct refs:smoke.spec.ts|visual-smoke.spec.ts,dynamic fixture/data not exhaustively enumerated
/destinations,src/app/destinations/page.tsx,server page with async data,@/components/destinations/GeographyHubView|@/components/seo/BreadcrumbListJsonLd|@/components/seo/CatalogItemListJsonLd|@/components/seo/DestinationsCatalogSeoLinks|@/components/seo/WebPageJsonLd,@/lib/catalog-json-ld|@/lib/cms/destination-resolver|@/lib/cms/place-resolver|@/lib/destinations-catalog-seo|@/lib/i18n/server-locale|@/lib/locale-breadcrumbs|@/lib/places-repository,public,generateMetadata,declared ux-audit:/destinations;direct refs:smoke.spec.ts|ssr-i18n-chrome.spec.ts|visual-smoke.spec.ts,no source-level exception recorded
/dev/design-system,src/app/dev/design-system/page.tsx,server page,@/components/about/DesignSystemShowcase,@/lib/private-page-metadata,internal_production_404,static metadata,no resolved E2E route,not resolved by UX route manifest
/embed/flights/wl,src/app/embed/flights/wl/page.tsx,server page,./FlightsWlEmbedPageClient,no imported data/domain dependency,public_embed,not declared in page file,declared ux-audit:/embed/flights/wl,no source-level exception recorded
/embed/tours,src/app/embed/tours/page.tsx,server page with async data,./EmbedToursPageClient,@/data/marketplace-tours-server|@/lib/tour-embed,public_embed,static metadata,declared ux-audit:/embed/tours,no source-level exception recorded
/esim,src/app/esim/page.tsx,server page,@/components/esim/EsimCatalogView|@/components/seo/WebPageJsonLd,@/lib/page-metadata,public,static metadata,declared ux-audit:/esim,no source-level exception recorded
/excursions/[slug],src/app/excursions/[slug]/page.tsx,server page with async data,@/components/excursions/ExcursionDetailView|@/components/seo/BreadcrumbListJsonLd|@/components/seo/ExcursionJsonLd,@/lib/detail-breadcrumbs|@/lib/build-static-limits|@/lib/i18n/server-locale|@/lib/tripster/excursion-server,public,generateMetadata,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; not resolved by UX route manifest
/excursions/city/[citySlug],src/app/excursions/city/[citySlug]/page.tsx,server page with async data,@/components/excursions/ExcursionsCatalog|@/components/flights/ExcursionCityFlightSidebar|@/components/ui/skeleton,@/lib/flights/destination-airports|@/lib/tripster/excursion-server,public,generateMetadata,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; not resolved by UX route manifest
/excursions/guide/[guideId],src/app/excursions/guide/[guideId]/page.tsx,server page with async data,@/components/excursions/ExcursionGuideProfileView,@/lib/tripster/guide-server|@/lib/site-brand,public,generateMetadata,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; not resolved by UX route manifest
/excursions,src/app/excursions/page.tsx,dynamic server page,@/components/excursions/ExcursionsCatalog|@/components/seo/BreadcrumbListJsonLd|@/components/ui/skeleton,@/lib/i18n/hreflang|@/lib/i18n/server-locale|@/lib/locale-breadcrumbs|@/lib/page-metadata|@/lib/static-page-copy|@/lib/tripster/excursion-server,public,generateMetadata,declared ux-audit:/excursions,no source-level exception recorded
/experts/[slug],src/app/experts/[slug]/page.tsx,server page with async data,@/components/experts/ExpertDetailView|@/components/seo/WebPageJsonLd,@/lib/local-experts-server|@/lib/i18n/hreflang|@/lib/supabase/server,public,generateMetadata,declared ux-audit:/experts/maria-iguazu,dynamic fixture/data not exhaustively enumerated
/experts,src/app/experts/page.tsx,server page with async data,@/components/experts/ExpertsCatalog|@/components/seo/WebPageJsonLd,@/lib/local-experts-server|@/lib/i18n/hreflang|@/lib/supabase/server|@/lib/site-container,public,generateMetadata,declared ux-audit:/experts,no source-level exception recorded
/faq,src/app/faq/page.tsx,server page with async data,@/components/faq/FaqAccordionSection|@/components/navigation/PageBreadcrumbs|@/components/seo/BreadcrumbListJsonLd|@/components/seo/FAQPageJsonLd,@/data/faq|@/lib/detail-breadcrumbs|@/lib/i18n/server-locale|@/lib/page-metadata|@/lib/site-container|@/lib/cn,public,static metadata,declared ux-audit:/faq;direct refs:ssr-i18n-chrome.spec.ts,no source-level exception recorded
/flights/[route],src/app/flights/[route]/page.tsx,server page with async data,@/components/flights/FlightRouteLandingView|@/components/seo/BreadcrumbListJsonLd|@/components/seo/FlightOffersJsonLd,@/lib/detail-breadcrumbs|@/data/flight-popular-routes|@/lib/flights/hub-price-teasers|@/lib/flights/route-labels|@/lib/travelpayouts/price-widget-config|@/lib/page-metadata,public,generateMetadata,declared ux-audit:/flights/mow-bue,dynamic fixture/data not exhaustively enumerated
/flights,src/app/flights/page.tsx,server page with async data,@/components/flights/FlightsWhitelabelView|@/components/flights/FlightsPageSkeleton|@/components/seo/BreadcrumbListJsonLd|@/components/seo/WebPageJsonLd,@/lib/detail-breadcrumbs|@/lib/i18n/server-locale|@/lib/page-metadata|@/lib/travelpayouts/whitelabel/config,public,static metadata,declared ux-audit:/flights;direct refs:flights-mobile.spec.ts|stage2-visual-acceptance.spec.ts,no source-level exception recorded
/forum/[category]/[threadId],src/app/forum/[category]/[threadId]/page.tsx,server page with async data,@/components/forum/ForumThreadView|@/components/seo/BreadcrumbListJsonLd,@/lib/auth-mode|@/lib/detail-breadcrumbs|@/lib/forum/forum-server|@/lib/i18n/server-locale|@/lib/page-metadata|@/lib/supabase/server,public,generateMetadata,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; not resolved by UX route manifest
/forum/[category],src/app/forum/[category]/page.tsx,server page with async data,@/components/forum/ForumCategoryView|@/components/seo/BreadcrumbListJsonLd,@/lib/auth-mode|@/lib/detail-breadcrumbs|@/lib/forum/forum-server|@/lib/i18n/server-locale|@/lib/page-metadata|@/lib/supabase/server,public,generateMetadata,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; not resolved by UX route manifest
/forum,src/app/forum/page.tsx,server page with async data,@/components/forum/ForumIndexView|@/components/seo/BreadcrumbListJsonLd,@/lib/auth-mode|@/lib/detail-breadcrumbs|@/lib/forum/forum-server|@/lib/i18n/server-locale|@/lib/page-metadata|@/lib/supabase/server,public,static metadata,declared ux-audit:/forum,no source-level exception recorded
/gallery,src/app/gallery/page.tsx,server page with async data,@/components/gallery/GalleryPageView|@/components/seo/WebPageJsonLd,@/lib/page-metadata,public,static metadata,declared ux-audit:/gallery;direct refs:visual-smoke.spec.ts,no source-level exception recorded
/guide/[slug],src/app/guide/[slug]/page.tsx,server page with async data,@/components/content/ContentPageView|@/components/guide/hub/KakDobratsyaHubView|@/components/guide/GuidePillarView|@/components/guide/GuideTopicView|@/components/i18n/TranslationPreparingBanner,@/data/guide-hub-kak-dobratsya|@/lib/cms/guide-resolver|@/lib/cms/cms-hreflang|@/lib/cms/content-resolver|@/lib/guide-topics|@/data/marketplace-tours-server|@/lib/i18n/server-locale|@/lib/i18n/hreflang|@/lib/media-resolver|@/lib/page-metadata,public,generateMetadata,declared ux-audit:/guide/sezony-i-klimat;direct refs:smoke.spec.ts,dynamic fixture/data not exhaustively enumerated
/guide/ob-argentine,src/app/guide/ob-argentine/page.tsx,server page,@/components/guide/AboutArgentinaView,no imported data/domain dependency,public,static metadata,declared ux-audit:/guide/ob-argentine,no source-level exception recorded
/guide,src/app/guide/page.tsx,server page with async data,@/components/guide/GuideHubView|@/components/seo/BreadcrumbListJsonLd,@/lib/i18n/hreflang|@/lib/i18n/server-locale|@/lib/locale-breadcrumbs|@/lib/media-resolver|@/lib/page-metadata|@/lib/static-page-copy,public,generateMetadata,declared ux-audit:/guide;direct refs:smoke.spec.ts|ssr-i18n-chrome.spec.ts,no source-level exception recorded
/immigration/[slug],src/app/immigration/[slug]/page.tsx,server page with async data,@/components/content/ContentPageView|@/components/immigration/ImmigrationPillarView,@/lib/content-pages|@/lib/immigration-topics|@/lib/content-freshness-server|@/lib/page-metadata|@/lib/i18n/hreflang,public,generateMetadata,declared ux-audit:/immigration/dokumenty-dlya-vyezda,dynamic fixture/data not exhaustively enumerated
/immigration,src/app/immigration/page.tsx,server page with async data,@/components/flights/ImmigrationFlightHint|@/components/immigration/ImmigrationHubView|@/components/seo/BreadcrumbListJsonLd,@/lib/i18n/hreflang|@/lib/i18n/server-locale|@/lib/locale-breadcrumbs|@/lib/media-resolver|@/lib/page-metadata|@/lib/static-page-copy,public,generateMetadata,declared ux-audit:/immigration;direct refs:ssr-i18n-chrome.spec.ts|visual-smoke.spec.ts,no source-level exception recorded
/insurance,src/app/insurance/page.tsx,server page,@/components/insurance/InsuranceView|@/components/seo/WebPageJsonLd,@/lib/page-metadata|@/lib/travelpayouts/whitelabel/insurance-config,public,static metadata,declared ux-audit:/insurance,no source-level exception recorded
/itineraries/[slug],src/app/itineraries/[slug]/page.tsx,server page with async data,@/components/itineraries/ItineraryDetailView|@/components/social-feed/SocialFeed|@/components/seo/ItineraryTripJsonLd,@/lib/places-repository,public,generateMetadata,declared ux-audit:/itineraries/patagonia-classic-10-days,dynamic fixture/data not exhaustively enumerated
/itineraries,src/app/itineraries/page.tsx,server page with async data,@/components/itineraries/ItinerariesIndexView,@/lib/places-repository,public,static metadata,declared ux-audit:/itineraries,no source-level exception recorded
/join,src/app/join/page.tsx,server page,@/components/join/JoinPageView,no imported data/domain dependency,public,static metadata,declared ux-audit:/join,no source-level exception recorded
/legal/[slug],src/app/legal/[slug]/page.tsx,server page with async data,@/components/i18n/TranslationPreparingBanner|@/components/legal/LegalPageView|@/components/seo/BreadcrumbListJsonLd,@/lib/cms/content-resolver|@/lib/cms/legal-resolver|@/lib/cms/cms-hreflang|@/lib/i18n/server-locale|@/lib/page-metadata,public,generateMetadata,declared ux-audit:/legal/privacy,dynamic fixture/data not exhaustively enumerated
/maintenance,src/app/maintenance/page.tsx,server page with async data,@/components/maintenance/MaintenanceComingSoonView,@/lib/i18n/server-locale|@/lib/maintenance-page|@/lib/site-settings-server,public_utility,static metadata,no resolved E2E route,not resolved by UX route manifest
/map,src/app/map/page.tsx,server page with async data,inline/local rendering,no imported data/domain dependency,public,not declared in page file,declared ux-audit:/map;direct refs:smoke.spec.ts,rendering inline or local
/mapa-argentina,src/app/mapa-argentina/page.tsx,server page with async data,@/components/map/MapaArgentinaClient|@/components/seo/BreadcrumbListJsonLd|@/components/seo/WebPageJsonLd,@/lib/map-objects-server|@/lib/map-argentina-url-state|@/lib/i18n/hreflang,public,generateMetadata,declared ux-audit:/mapa-argentina;direct refs:smoke.spec.ts|stage2-visual-acceptance.spec.ts|visual-smoke.spec.ts,no source-level exception recorded
/organizer/analytics,src/app/organizer/analytics/page.tsx,server page,./OrganizerAnalyticsPageClient,no imported data/domain dependency,authenticated_organizer,static metadata,declared ux-audit:/organizer/analytics,authenticated success state absent from generic guest crawl
/organizer/articles/[id]/edit,src/app/organizer/articles/[id]/edit/page.tsx,server page with async data,./OrganizerArticleEditPageClient,no imported data/domain dependency,authenticated_organizer,not declared in page file,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; authenticated success state absent from generic guest crawl; not resolved by UX route manifest
/organizer/articles/[id]/preview,src/app/organizer/articles/[id]/preview/page.tsx,server page with async data,@/components/organizer/OrganizerArticlePreviewView,no imported data/domain dependency,authenticated_organizer_preview,not declared in page file,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; authenticated success state absent from generic guest crawl; not resolved by UX route manifest
/organizer/articles,src/app/organizer/articles/page.tsx,server page,./OrganizerArticlesPageClient,no imported data/domain dependency,authenticated_organizer,not declared in page file,declared ux-audit:/organizer/articles;direct refs:stage2-visual-acceptance.spec.ts,authenticated success state absent from generic guest crawl
