id,area,route_or_scope,interaction,component_evidence,expected_effect,input_modes,automated_evidence,coverage_gap
INT-030,map,/mapa-argentina,search panel,src/components/map/MapSearchPanel.tsx,search and select map objects,keyboard/touch,src/lib/map-search.test.ts,autocomplete browser flow not covered
INT-031,map,/mapa-argentina,category and layer filters,src/components/map/MapCategoryFilters.tsx|src/components/map/MapLayerToggles.tsx,toggle visible object kinds and layers,keyboard/touch,src/lib/map-argentina-url-state.test.ts,focus and URL restoration not E2E covered
INT-032,map,/mapa-argentina,accessible result list,src/components/map/MapTourListItem.tsx|src/components/map/PlaceMapListItem.tsx,open objects without canvas markers,keyboard/touch,src/lib/map-accessibility.test.ts,full keyboard journey not E2E covered
INT-033,blog,/blog,hero search and filters,src/components/blog/BlogHeroSearch.tsx|src/components/blog/BlogSearchFilters.tsx,search and filter articles,keyboard/touch,visual and UX route tests only,zero result typo tolerance and history restoration unverified
INT-034,article,/blog/[slug],save article,src/components/blog/BlogSaveArticleButton.tsx,persist saved article,keyboard/touch,src/lib/blog-reading-history-sync.test.ts,authenticated browser state unverified
INT-035,article,/blog/[slug],share controls,src/components/blog/BlogShareBar.tsx,native share or copy URL,keyboard/touch,source only,Web Share fallback not cross-browser tested
INT-036,article,/blog/[slug],rich gallery carousel,src/components/blog/BlogRichGalleryCarousel.tsx,navigate article media,keyboard/touch,src/lib/blog-post-ux.test.ts,gesture and reduced-motion not E2E covered
INT-037,knowledge base,/baza-znaniy/poisk,knowledge search,src/components/knowledge-base/KbSearch.tsx,query and open results,keyboard/touch,src/lib/knowledge-base/publication-quality.test.ts,zero offline and keyboard browser states unverified
INT-038,gallery,/gallery,gallery and lightbox,src/components/gallery/GalleryPageView.tsx,filter open and navigate media,mouse/keyboard/touch,tests/e2e/visual-smoke.spec.ts,interaction states not asserted
INT-039,faq,/faq,accordion,src/components/faq/FaqAccordionSection.tsx,expand and collapse answers,keyboard/touch,source only,ARIA expanded and focus not E2E covered
INT-040,booking recovery,/booking/find,OTP lookup form,src/components/booking/BookingLookupView.tsx,request and verify purpose-bound lookup,keyboard/touch,tests/e2e/booking-lookup-security.spec.ts,success with real mailbox or session unverified
INT-041,booking,/booking/travelers/[token],travelers form,src/components/booking/BookingTravelersFormView.tsx,save traveler details,keyboard/touch,booking unit tests,valid expired token and browser validation unverified
INT-042,booking,/booking/pay/[token],payment link view,src/components/booking/BookingPaymentLinkView.tsx,load payment state and continue,keyboard/touch,no resolved token E2E route,valid expired success and provider failure unverified
INT-043,profile,/profile/settings,profile settings form,src/app/profile/settings/page.tsx,edit personal settings,keyboard/touch,UX auth-wall only,authenticated success and error not covered
INT-044,profile,/profile/favorites,favorite controls,src/components/profile/FavoriteButton.tsx,open add or remove saved offers,keyboard/touch,src/lib/favorites-store.test.ts|src/lib/favorites-server.test.ts,authenticated browser flow unverified
INT-045,organizer,/organizer/tours/[id]/edit,tour editor,src/components/organizer/OrganizerTourEditorView.tsx,create edit preview and submit tour,keyboard/touch,UX auth-wall; dynamic route unresolved,authenticated save publish and conflict states unverified
INT-046,organizer,/organizer/articles/[id]/edit,article editor,src/components/organizer/OrganizerArticleEditorView.tsx,autosave preview and submit moderation,keyboard/touch,src/lib/cms/author-article-workflow.test.ts|stage2 auth boundary,authenticated editor success unverified
INT-047,organizer,/organizer/bookings/[id],booking CRM controls,src/components/organizer/OrganizerBookingDetailView.tsx|src/components/booking/BookingOrganizerEditModal.tsx,edit status data and comments,keyboard/touch,booking state-machine unit tests,authenticated dynamic E2E absent
INT-048,admin,/admin,command palette,src/components/admin/AdminCommandPalette.tsx,search and open admin destinations,keyboard,source only,shortcut and focus restoration untested
INT-049,admin,/admin,notifications menu,src/components/admin/AdminNotificationsMenu.tsx,open read and mark all notifications,keyboard/touch,source only,API success and error browser flow untested
INT-050,admin CMS,/admin/content/documents/[id],document editor,src/components/admin/views/ContentDocumentEditorView.tsx,edit save schedule publish and restore,keyboard/touch,CMS unit tests; stage2 list route only,authenticated editor conflict and permission states unverified
INT-051,admin CMS,/admin/content/documents/[id],visual page builder,src/components/admin/page-builder/VisualPageBuilder.tsx,add reorder and configure blocks,mouse/keyboard/touch,page-builder unit tests,drag reorder keyboard and persistence unverified
INT-052,admin CMS,/admin/media,media upload,src/components/admin/MediaUploadDropzone.tsx,select drop and upload file,mouse/keyboard/touch,media integrity unit tests,real upload progress retry and Safari drop unverified
INT-053,admin CMS,/admin/media,media lightbox,src/components/admin/MediaLightbox.tsx,inspect and navigate media,keyboard/touch,source only,focus trap and zoom unverified
INT-054,admin CMS,/admin/system/settings,site globals and navigation editor,src/components/admin/site-globals/SiteGlobalForm.tsx,edit owner-managed settings and navigation,keyboard/touch,src/lib/cms/site-globals/normalize.test.ts,authenticated save and preview browser flow unverified
INT-055,admin,/admin/system/redirects,redirect management,src/components/admin/views/RedirectsView.tsx,create edit and delete redirects,keyboard/touch,src/lib/redirects/url-redirect-normalize.test.ts,authenticated API browser flow unverified
INT-056,admin,/admin/feature-flags,feature flag controls,src/components/admin/views/FeatureFlagsView.tsx,enable or disable flags,keyboard/touch,source only,permission rollback and concurrent edit unverified
INT-057,forum,/forum/[category]/[threadId],report action,src/components/forum/ForumReportButton.tsx,submit moderation report,keyboard/touch,source only,dynamic route excluded and backend effect unverified
INT-058,contacts,/contacts,contact actions,src/components/contacts/ContactsPageClient.tsx,copy or open contact channels,keyboard/touch,stage2 visual route only,success error and dynamic time cache not asserted
