id,route_pattern,kind,methods,access,indexing,locale_behavior,source_file,implementation_status,automated_test_evidence,notes
PAGE-014,/admin/marketplace/excursions,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/marketplace/excursions/page.tsx,implemented_route,declared ux-audit:/admin/marketplace/excursions,
PAGE-015,/admin/marketplace/experts,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/marketplace/experts/page.tsx,implemented_route,declared ux-audit:/admin/marketplace/experts,
PAGE-016,/admin/marketplace/moderation,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/marketplace/moderation/page.tsx,implemented_route,declared ux-audit:/admin/marketplace/moderation,
PAGE-017,/admin/marketplace/organizers,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/marketplace/organizers/page.tsx,implemented_route,declared ux-audit:/admin/marketplace/organizers,
PAGE-018,/admin/marketplace/tours,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/marketplace/tours/page.tsx,implemented_route,declared ux-audit:/admin/marketplace/tours,
PAGE-019,/admin/media,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/media/page.tsx,implemented_route,declared ux-audit:/admin/media,
PAGE-020,/admin/operations/bookings,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/operations/bookings/page.tsx,implemented_route,declared ux-audit:/admin/operations/bookings,
PAGE-021,/admin/operations/leads,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/operations/leads/page.tsx,implemented_route,declared ux-audit:/admin/operations/leads,
PAGE-022,/admin/operations,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/operations/page.tsx,implemented_route,declared ux-audit:/admin/operations,
PAGE-023,/admin/operations/payments,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/operations/payments/page.tsx,implemented_route,declared ux-audit:/admin/operations/payments,
PAGE-024,/admin/operations/privacy-requests,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/operations/privacy-requests/page.tsx,implemented_route,declared ux-audit:/admin/operations/privacy-requests,
PAGE-025,/admin/operations/reconciliation,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/operations/reconciliation/page.tsx,implemented_route,declared ux-audit:/admin/operations/reconciliation,
PAGE-026,/admin/operations/shop-orders,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/operations/shop-orders/page.tsx,implemented_route,declared ux-audit:/admin/operations/shop-orders,
PAGE-027,/admin,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/page.tsx,implemented_route,declared ux-audit:/admin;direct refs:stage2-visual-acceptance.spec.ts,
PAGE-028,/admin/system/api-keys,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/system/api-keys/page.tsx,implemented_route,declared ux-audit:/admin/system/api-keys,
PAGE-029,/admin/system/audit,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/system/audit/page.tsx,implemented_route,declared ux-audit:/admin/system/audit,
PAGE-030,/admin/system/redirects,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/system/redirects/page.tsx,implemented_route,declared ux-audit:/admin/system/redirects,
PAGE-031,/admin/system/settings,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/system/settings/page.tsx,implemented_route,declared ux-audit:/admin/system/settings,
PAGE-032,/admin/system/staff,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/system/staff/page.tsx,implemented_route,declared ux-audit:/admin/system/staff,
PAGE-033,/admin/users,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/users/page.tsx,implemented_route,declared ux-audit:/admin/users,
PAGE-034,/audio-guides/[id],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/audio-guides/[id]/page.tsx,dynamic_404_possible,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-035,/audio-guides,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/audio-guides/page.tsx,implemented_route,declared ux-audit:/audio-guides,
PAGE-036,/auth/error,page,GET,public_utility,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/auth/error/page.tsx,implemented_route,declared ux-audit:/auth/error;direct refs:auth-flow.spec.ts,
PAGE-037,/auth/reset-password,page,GET,public_utility,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/auth/reset-password/page.tsx,redirect,declared ux-audit:/auth/reset-password,
PAGE-038,/baza-znaniy/[slug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/baza-znaniy/[slug]/page.tsx,dynamic_404_possible,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-039,/baza-znaniy,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/baza-znaniy/page.tsx,implemented_route,declared ux-audit:/baza-znaniy,
PAGE-040,/baza-znaniy/poisk,page,GET,public,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/baza-znaniy/poisk/page.tsx,implemented_route,declared ux-audit:/baza-znaniy/poisk,
PAGE-041,/baza-znaniy/razdel/[slug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/baza-znaniy/razdel/[slug]/page.tsx,dynamic_404_possible,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-042,/blog/[slug],page,GET,public,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/blog/[slug]/page.tsx,dynamic_404_possible,declared ux-audit:/blog/buenos-aires-rajony;direct refs:smoke.spec.ts|stage2-visual-acceptance.spec.ts|visual-smoke.spec.ts,dynamic pattern requires fixture/data
PAGE-043,/blog/author/[slug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/blog/author/[slug]/page.tsx,dynamic_404_possible,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-044,/blog/authors/[slug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/blog/authors/[slug]/page.tsx,dynamic_404_possible,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-045,/blog/authors,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/blog/authors/page.tsx,implemented_route,declared ux-audit:/blog/authors,
PAGE-046,/blog/hub/[hubId],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/blog/hub/[hubId]/page.tsx,dynamic_404_possible,declared ux-audit:/blog/hub/national-parks,dynamic pattern requires fixture/data
PAGE-047,/blog,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/blog/page.tsx,implemented_route,declared ux-audit:/blog;direct refs:smoke.spec.ts|stage2-visual-acceptance.spec.ts|visual-smoke.spec.ts,
PAGE-048,/booking/find,page,GET,public_utility,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/booking/find/page.tsx,implemented_route,declared ux-audit:/booking/find;direct refs:booking-lookup-security.spec.ts|smoke.spec.ts|stage2-visual-acceptance.spec.ts,
PAGE-049,/booking/pay/[token],page,GET,public_token,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/booking/pay/[token]/page.tsx,implemented_route,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-050,/booking/pay/[token]/result,page,GET,public_token,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/booking/pay/[token]/result/page.tsx,implemented_route,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-051,/booking/travelers/[token],page,GET,public_token,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/booking/travelers/[token]/page.tsx,implemented_route,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-052,/car-rental,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/car-rental/page.tsx,implemented_route,declared ux-audit:/car-rental,
PAGE-053,/collections/[slug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/collections/[slug]/page.tsx,dynamic_404_possible,declared ux-audit:/collections/patagonia-highlights,dynamic pattern requires fixture/data
PAGE-054,/collections,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/collections/page.tsx,implemented_route,declared ux-audit:/collections,
PAGE-055,/contacts,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/contacts/page.tsx,implemented_route,declared ux-audit:/contacts;direct refs:stage2-visual-acceptance.spec.ts,
PAGE-056,/destinations/[slug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/destinations/[slug]/page.tsx,dynamic_404_possible,declared ux-audit:/destinations/patagonia;direct refs:smoke.spec.ts|visual-smoke.spec.ts,dynamic pattern requires fixture/data
PAGE-057,/destinations,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/destinations/page.tsx,implemented_route,declared ux-audit:/destinations;direct refs:smoke.spec.ts|ssr-i18n-chrome.spec.ts|visual-smoke.spec.ts,
PAGE-058,/dev/design-system,page,GET,internal_production_404,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/dev/design-system/page.tsx,expected_404_in_production,no resolved E2E route,
PAGE-059,/embed/flights/wl,page,GET,public_embed,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/embed/flights/wl/page.tsx,implemented_route,declared ux-audit:/embed/flights/wl,
PAGE-060,/embed/tours,page,GET,public_embed,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/embed/tours/page.tsx,implemented_route,declared ux-audit:/embed/tours,
PAGE-061,/esim,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/esim/page.tsx,implemented_route,declared ux-audit:/esim,
PAGE-062,/excursions/[slug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/excursions/[slug]/page.tsx,dynamic_404_possible,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-063,/excursions/city/[citySlug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/excursions/city/[citySlug]/page.tsx,dynamic_404_possible,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-064,/excursions/guide/[guideId],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/excursions/guide/[guideId]/page.tsx,dynamic_404_possible,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-065,/excursions,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/excursions/page.tsx,implemented_route,declared ux-audit:/excursions,
PAGE-066,/experts/[slug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/experts/[slug]/page.tsx,dynamic_404_possible,declared ux-audit:/experts/maria-iguazu,dynamic pattern requires fixture/data
PAGE-067,/experts,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/experts/page.tsx,implemented_route,declared ux-audit:/experts,
PAGE-068,/faq,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/faq/page.tsx,implemented_route,declared ux-audit:/faq;direct refs:ssr-i18n-chrome.spec.ts,
PAGE-069,/flights/[route],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/flights/[route]/page.tsx,dynamic_404_possible,declared ux-audit:/flights/mow-bue,dynamic pattern requires fixture/data
PAGE-070,/flights,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/flights/page.tsx,implemented_route,declared ux-audit:/flights;direct refs:flights-mobile.spec.ts|stage2-visual-acceptance.spec.ts,
PAGE-071,/forum/[category]/[threadId],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/forum/[category]/[threadId]/page.tsx,dynamic_404_possible,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-072,/forum/[category],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/forum/[category]/page.tsx,dynamic_404_possible,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-073,/forum,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/forum/page.tsx,dynamic_404_possible,declared ux-audit:/forum,
PAGE-074,/gallery,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/gallery/page.tsx,implemented_route,declared ux-audit:/gallery;direct refs:visual-smoke.spec.ts,
PAGE-075,/guide/[slug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/guide/[slug]/page.tsx,dynamic_404_possible,declared ux-audit:/guide/sezony-i-klimat;direct refs:smoke.spec.ts,dynamic pattern requires fixture/data
PAGE-076,/guide/ob-argentine,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/guide/ob-argentine/page.tsx,implemented_route,declared ux-audit:/guide/ob-argentine,
PAGE-077,/guide,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/guide/page.tsx,implemented_route,declared ux-audit:/guide;direct refs:smoke.spec.ts|ssr-i18n-chrome.spec.ts,
PAGE-078,/immigration/[slug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/immigration/[slug]/page.tsx,dynamic_404_possible,declared ux-audit:/immigration/dokumenty-dlya-vyezda,dynamic pattern requires fixture/data
PAGE-079,/immigration,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/immigration/page.tsx,implemented_route,declared ux-audit:/immigration;direct refs:ssr-i18n-chrome.spec.ts|visual-smoke.spec.ts,
PAGE-080,/insurance,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/insurance/page.tsx,implemented_route,declared ux-audit:/insurance,
PAGE-081,/itineraries/[slug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/itineraries/[slug]/page.tsx,dynamic_404_possible,declared ux-audit:/itineraries/patagonia-classic-10-days,dynamic pattern requires fixture/data
PAGE-082,/itineraries,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/itineraries/page.tsx,implemented_route,declared ux-audit:/itineraries,
PAGE-083,/join,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/join/page.tsx,implemented_route,declared ux-audit:/join,
PAGE-084,/legal/[slug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/legal/[slug]/page.tsx,dynamic_404_possible,declared ux-audit:/legal/privacy,dynamic pattern requires fixture/data
PAGE-085,/maintenance,page,GET,public_utility,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/maintenance/page.tsx,implemented_route,no resolved E2E route,
PAGE-086,/map,page,GET,public,redirect,optional /en and /es prefix rewritten by middleware,src/app/map/page.tsx,redirect,declared ux-audit:/map;direct refs:smoke.spec.ts,301 in next.config and runtime redirect fallback
PAGE-087,/mapa-argentina,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/mapa-argentina/page.tsx,implemented_route,declared ux-audit:/mapa-argentina;direct refs:smoke.spec.ts|stage2-visual-acceptance.spec.ts|visual-smoke.spec.ts,
PAGE-088,/organizer/analytics,page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/analytics/page.tsx,implemented_route,declared ux-audit:/organizer/analytics,
PAGE-089,/organizer/articles/[id]/edit,page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/articles/[id]/edit/page.tsx,implemented_route,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-090,/organizer/articles/[id]/preview,page,GET,authenticated_organizer_preview,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/articles/[id]/preview/page.tsx,implemented_route,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-091,/organizer/articles,page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/articles/page.tsx,implemented_route,declared ux-audit:/organizer/articles;direct refs:stage2-visual-acceptance.spec.ts,
PAGE-092,/organizer/bookings/[id],page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/bookings/[id]/page.tsx,implemented_route,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-093,/organizer/bookings,page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/bookings/page.tsx,implemented_route,declared ux-audit:/organizer/bookings,
PAGE-094,/organizer/finance,page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/finance/page.tsx,implemented_route,declared ux-audit:/organizer/finance,
PAGE-095,/organizer/group-trips,page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/group-trips/page.tsx,implemented_route,declared ux-audit:/organizer/group-trips,
PAGE-096,/organizer/integrations,page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/integrations/page.tsx,implemented_route,declared ux-audit:/organizer/integrations,
PAGE-097,/organizer/messages,page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/messages/page.tsx,implemented_route,declared ux-audit:/organizer/messages,
PAGE-098,/organizer,page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/page.tsx,implemented_route,declared ux-audit:/organizer;direct refs:stage2-visual-acceptance.spec.ts,
PAGE-099,/organizer/payments,page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/payments/page.tsx,implemented_route,declared ux-audit:/organizer/payments,
PAGE-100,/organizer/reviews,page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/reviews/page.tsx,implemented_route,declared ux-audit:/organizer/reviews,
PAGE-101,/organizer/settings,page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/settings/page.tsx,implemented_route,declared ux-audit:/organizer/settings,
PAGE-102,/organizer/tours/[id]/edit,page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/tours/[id]/edit/page.tsx,implemented_route,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-103,/organizer/tours/[id]/preview,page,GET,authenticated_organizer_preview,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/tours/[id]/preview/page.tsx,implemented_route,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-104,/organizer/tours,page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/tours/page.tsx,implemented_route,declared ux-audit:/organizer/tours,
PAGE-105,/organizer/waitlist/[id],page,GET,authenticated_organizer,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/organizer/waitlist/[id]/page.tsx,implemented_route,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-106,/organizers/[slug],page,GET,authenticated_due_prefix_match_conflict,sitemap_candidate_but_auth_redirect,optional /en and /es prefix rewritten by middleware,src/app/organizers/[slug]/page.tsx,dynamic_404_possible,declared ux-audit:/organizers/ivan-evdokimychev,dynamic pattern requires fixture/data; public page and sitemap entry are intercepted because middleware and E2E categorizer use startsWith(/organizer)
PAGE-107,/,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/page.tsx,implemented_route,declared ux-audit:/;direct refs:auth-flow.spec.ts|smoke.spec.ts|ssr-i18n-chrome.spec.ts|stage2-visual-acceptance.spec.ts|ux-audit.spec.ts|visual-smoke.spec.ts,
PAGE-108,/places/[slug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/places/[slug]/page.tsx,dynamic_404_possible,declared ux-audit:/places/iguazu-falls;direct refs:smoke.spec.ts,dynamic pattern requires fixture/data
PAGE-109,/places,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/places/page.tsx,implemented_route,declared ux-audit:/places;direct refs:smoke.spec.ts|ssr-i18n-chrome.spec.ts,
PAGE-110,/podbor,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/podbor/page.tsx,implemented_route,declared ux-audit:/podbor,
PAGE-111,/profile/bookings/[id],page,GET,authenticated_tourist,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/profile/bookings/[id]/page.tsx,implemented_route,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-112,/profile/bookings,page,GET,authenticated_tourist,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/profile/bookings/page.tsx,implemented_route,declared ux-audit:/profile/bookings,
PAGE-113,/profile/favorites,page,GET,authenticated_tourist,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/profile/favorites/page.tsx,implemented_route,declared ux-audit:/profile/favorites,
PAGE-114,/profile/group-trips,page,GET,authenticated_tourist,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/profile/group-trips/page.tsx,implemented_route,declared ux-audit:/profile/group-trips,
PAGE-115,/profile/messages,page,GET,authenticated_tourist,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/profile/messages/page.tsx,implemented_route,declared ux-audit:/profile/messages,
PAGE-116,/profile/orders,page,GET,authenticated_tourist,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/profile/orders/page.tsx,implemented_route,declared ux-audit:/profile/orders,
PAGE-117,/profile,page,GET,authenticated_tourist,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/profile/page.tsx,implemented_route,declared ux-audit:/profile;direct refs:stage2-visual-acceptance.spec.ts,
PAGE-118,/profile/reviews,page,GET,authenticated_tourist,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/profile/reviews/page.tsx,implemented_route,declared ux-audit:/profile/reviews,
PAGE-119,/profile/settings,page,GET,authenticated_tourist,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/profile/settings/page.tsx,implemented_route,declared ux-audit:/profile/settings,
PAGE-120,/profile/trip-prep,page,GET,authenticated_tourist,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/profile/trip-prep/page.tsx,implemented_route,declared ux-audit:/profile/trip-prep,
PAGE-121,/services,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/services/page.tsx,implemented_route,declared ux-audit:/services,
PAGE-122,/shop/[slug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/shop/[slug]/page.tsx,dynamic_404_possible,declared ux-audit:/shop/patagonia-pdf-guide,dynamic pattern requires fixture/data
PAGE-123,/shop,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/shop/page.tsx,implemented_route,declared ux-audit:/shop,
PAGE-124,/tours/[slug],page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/tours/[slug]/page.tsx,implemented_route,declared ux-audit:/tours/patagonia-glaciers;direct refs:stage2-visual-acceptance.spec.ts|tripster-partner-invariants.spec.ts|ux-audit.spec.ts|visual-smoke.spec.ts|youtravel-booking.spec.ts|youtravel-partner-invariants.spec.ts,dynamic pattern requires fixture/data
PAGE-125,/tours,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/tours/page.tsx,implemented_route,declared ux-audit:/tours;direct refs:smoke.spec.ts|ssr-i18n-chrome.spec.ts|stage2-visual-acceptance.spec.ts|tripster-partner-invariants.spec.ts|ux-audit.spec.ts|visual-smoke.spec.ts|youtravel-booking.spec.ts|youtravel-partner-invariants.spec.ts,
PAGE-126,/transfers,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/transfers/page.tsx,implemented_route,declared ux-audit:/transfers,
PAGE-127,/trip-prep,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/trip-prep/page.tsx,implemented_route,declared ux-audit:/trip-prep,
PAGE-128,/trip/[token],page,GET,public_token,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/trip/[token]/page.tsx,implemented_route,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-129,/yandex-verification,page,GET,public_utility,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/yandex-verification/page.tsx,implemented_route,declared ux-audit:/yandex-verification,
API-001,/api/admin/analytics/export,API,GET,admin,not_applicable,unprefixed API expected,src/app/api/admin/analytics/export/route.ts,implemented_handler,no direct E2E reference,authorization inferred from namespace; exact policy remains handler-specific
API-002,/api/admin/analytics/funnels,API,GET,admin,not_applicable,unprefixed API expected,src/app/api/admin/analytics/funnels/route.ts,implemented_handler,no direct E2E reference,authorization inferred from namespace; exact policy remains handler-specific
API-003,/api/admin/analytics,API,GET,admin,not_applicable,unprefixed API expected,src/app/api/admin/analytics/route.ts,implemented_handler,no direct E2E reference,authorization inferred from namespace; exact policy remains handler-specific
API-004,/api/admin/api-keys/[id],API,DELETE,admin,not_applicable,unprefixed API expected,src/app/api/admin/api-keys/[id]/route.ts,implemented_handler,no direct E2E reference,authorization inferred from namespace; exact policy remains handler-specific
API-005,/api/admin/api-keys,API,GET|POST,admin,not_applicable,unprefixed API expected,src/app/api/admin/api-keys/route.ts,implemented_handler,no direct E2E reference,authorization inferred from namespace; exact policy remains handler-specific
