"id","purpose","owner","allowedPages","requiredData","fallback","events","accessibility","performanceBudget","usage","lastUsed","status","schemaVersion","releaseFinding","evidence_checked_at"
"flight-route-price","Show partner price teaser on a route landing","Commercial integrations","/flights/[route]","Travelpayouts price widget script URL and route","Skeleton; script error is treated as ready","none_found","aria-live loading and aria-busy mount","not_defined","FlightRoutePriceWidget used by FlightRouteLandingView","source_reference_2026-07-15","release_blocked","unversioned","Script failure calls markReady, so a failed widget can become a blank success state; no retry or analytics","2026-07-15"
"car-rental-search","Run Localrent partner car search","Commercial integrations","/car-rental","Localrent remote script","Loading shell; script error is treated as ready","none_found","Polite loading announcement; partner DOM accessibility not verified","not_defined","LocalRentWidget used by CarRentalView","source_reference_2026-07-15","release_blocked","unversioned","Script failure can resolve to blank ready state; no error, retry, or widget analytics","2026-07-15"
"insurance-calculator","Run partner insurance calculator","Commercial integrations","/insurance","Partner remote script","Loading shell; script error is treated as ready","none_found","Polite loading announcement; partner DOM accessibility not verified","not_defined","InsuranceWhitelabelWidget used by InsuranceView","source_reference_2026-07-15","release_blocked","unversioned","Script failure can resolve to blank ready state; no error, retry, or widget analytics","2026-07-15"
"passport-power","Compare passport mobility indicators","Immigration fact checker","Immigration pillar","Static 2025 Henley-derived passport dataset","Static content remains visible","none_found","Button groups and tabs expose aria-pressed/aria-selected; section labelled","not_defined","ArgentinaPassportPowerWidget used by ImmigrationPillarView","source_reference_2026-07-15","release_blocked","unversioned","Sensitive entry data is edition 2025 and stale for July 2026; no primary official country-by-country verification or review gate","2026-07-15"
"guide-assistant","Answer questions from site materials with cited sources","Knowledge editor","Public non-workspace pages selected by isGuideAssistantPath","Assistant API, consent state, session id, question","Inline error; previous messages retained; submit disabled while loading","assistant_ask server event","Labelled launcher; dialog controls; live response region; keyboard close provided by dialog","not_defined","Loaded globally through Providers outside workspace","source_reference_2026-07-15","active_review_required","unversioned","No registry policy, explicit retry action, or documented sensitive-answer publication gate in this component","2026-07-15"
"blog-newsletter","Subscribe readers from articles","Marketing editor","Blog post","Email, consent, newsletter API","Inline normalized error; success confirmation; loading disabled state","newsletter_subscribe","Labelled form section and input; status feedback component","not_defined","BlogNewsletterBlock used by BlogPostView","source_reference_2026-07-15","active_review_required","unversioned","Functional states and analytics exist; lifecycle and performance budget are not centrally registered","2026-07-15"
"blog-budget","Present a compact budget breakdown","Content editor","Typed blog article blocks","Editorial label/value items and optional note","Renders supplied data; no empty guard","none_found","Semantic dl/dt/dd","not_defined","BlogBudgetWidget rendered by BlogSectionBody","source_reference_2026-07-15","active_review_required","unversioned","Finance figures have no enforced freshness/source fields and empty input is not handled","2026-07-15"
"blog-season","Compare seasonal pros and cons","Content editor","Typed blog article blocks","Editorial seasonal items and conclusion","Renders supplied data; no empty guard","none_found","Text labels accompany symbols","not_defined","BlogSeasonWidget rendered by BlogRichArticle and BlogSectionBody","source_reference_2026-07-15","active_review_required","unversioned","No interaction analytics or registry-enforced source/freshness metadata","2026-07-15"
"kb-search","Send a knowledge-base query to results","Knowledge editor","Knowledge hub and section pages","User query string","Empty query opens the results page","none_found","Native search input; role=search; accessible label","not_defined","KbSearchBox used on knowledge hub and section routes","source_reference_2026-07-15","active_review_required","unversioned","No search-submission or zero-result analytics in the widget","2026-07-15"
"cms-widget-block","Allow editors to insert a registered reusable widget","CMS owner","CMS page-builder documents","widgetKey, optional title, config","Unknown non-empty key renders a visible technical placeholder","none_found","Unknown placeholder is readable but is not a valid user experience","not_defined","Page builder accepts free-text widgetKey; TravelWidgetRenderer supports only three keys","source_reference_2026-07-15","release_blocked","unversioned","No central allowlist in editor, owner enforcement, schema validation, or publication gate; technical widget key can leak publicly","2026-07-15"
