id,severity,area,url,viewport,component,actual,expected,impact,root_cause,owner,status,evidence,test,pr,exception
PARTNER-IDEMP-001,P1,commerce,partner booking APIs,server,booking request,Network retry could create duplicate partner order,Durable operation id before provider call,Duplicate real order,Key was created per HTTP attempt,Engineering,migration-pending,supabase/migrations/20260715131500_partner_booking_idempotency.sql,idempotency.test.ts,,
NOTIFY-RETRY-001,P1,operations,notifications,server,email delivery,Failures were swallowed without durable retry,Transactional outbox and bounded retry,Lost transactional message,Fire-and-forget delivery,Engineering,migration-pending,supabase/migrations/20260715132000_email_delivery_outbox.sql,email-outbox-security.test.ts,,
PRIVACY-DELETE-001,P1,privacy,/profile/privacy,server,deletion workflow,Completed request could leave PII in related stores,Fail-closed registry plus legal retention review,Incomplete legal request,Partial table coverage,Engineering+Legal,fixed-needs-staging-fixture,src/lib/privacy/delete-automation.ts,unit test only,,
AUTHOR-WORKFLOW-001,P1,admin,/admin/moderation,all,authorship moderation,Approval could publish mutable unpinned revision,Pinned revision and content.publish capability,Wrong article version published,No revision id in submission,Engineering,fixed-in-worktree,moderation-server.ts,author-article-moderation-security.test.ts,,
DATA-RATING-001,P1,content,/places,all,place rating,Manual seed values looked like user ratings,Hide until sourced aggregate exists,Misleading trust signal,No source/review metadata,Editorial,fixed-in-worktree,PlaceCard.tsx and PlaceDetailView.tsx,typecheck,,
SSR-PODBOR-001,P2,ssr,/podbor,all,PodborView,Initial HTML contained spinner only,Useful H1 and intro in server HTML,No-JS and crawler failure,Hydration gate wrapped whole page,Engineering,fixed-in-worktree,PodborView.tsx,browser verification pending,,
A11Y-MAIN-001,P2,a11y,/booking/find,all,BookingLookupView,Nested main landmarks,One main per document,Screen reader landmark confusion,Page component used main inside SiteChrome,Engineering,fixed-in-worktree,BookingLookupView.tsx,browser verification pending,,
DATA-MAP-001,P1,content,/karta,all,supplementary city CTA,Generated links pointed to absent KB entries,CTA only when destination exists,Seven dead links,Unconditional URL construction,Engineering,fixed-in-worktree,map-supplementary-cities.ts,invariant test pending,,
BUILD-RACE-001,P1,build,local production build,server,.next,IDE next dev overwrote production output during build,Dedicated production distDir and process lock,Intermittent missing /_document and failed release build,Shared .next directory,Engineering,fixed-in-worktree,scripts/start.mjs,production build 964/964,,
PERF-HOME-001,P1,performance,/,all,RSC payload,Home HTML was about 4 MB,Compact first payload,Slow first visit and high transfer,Full tours and blog arrays serialized,Engineering,fixed-in-worktree,src/app/page.tsx,409 KB after HTTP measurement,,
DEP-XML-001,P1,security,dependencies,server,@xmldom/xmldom,Critical vulnerable transitive version,Patched override,Supply-chain exposure,Unpinned transitive dependency,Engineering,fixed-in-worktree,package.json,npm audit now 2 moderate only,,
