check_id,domain,entity_or_scope,requirement,status,severity,verification_level,measured_at,total,affected,evidence,notes
DQ-026,database,all_key_entities,foreign keys and orphan relations,partial,blocker,mixed,2026-07-15T03:20:00.000Z,,,prisma/schema.prisma,"Place relations are covered by schema and tests; no single live all-table orphan query artifact was available"
DQ-027,database,all_money_fields,decimal or minor-unit storage and currency units,partial,blocker,mixed,2026-07-15T03:16:10.000Z,16,0,var/ops/release-gate-logs/commerce-booking-payment-integrity.log,"16 booking/payment integrity tests passed; an exhaustive live schema audit of every money column is not present"
DQ-028,database,public_tables,row-level security coverage,pass,blocker,artifact,2026-07-15T00:01:54.021Z,83,0,var/ops/rls-audit-last.json,"Static RLS audit reports no critical issues"
DQ-029,content,editorial_html,sanitization before storage,code_verified,blocker,test_reference,2026-07-15T03:20:00.000Z,1,0,src/lib/content-section-body.test.ts,"A dedicated test covers sanitized HTML and synchronized plain paragraphs; it was not part of the focused 33-test rerun"
DQ-030,data_pipeline,imports_and_syncs,idempotent repeated execution,partial,high,code,2026-07-15T03:20:00.000Z,,,scripts/sync-content-plan-redirects.mjs,"Several jobs use idempotent upsert/check modes; no unified repeat-run result exists for every importer and partner sync"
DQ-031,data_pipeline,partner_entities,external id provenance and last sync,not_measured,high,gap,2026-07-15T03:20:00.000Z,,,docs/release-2026-07/data-quality-report.csv,"No consolidated artifact proves externalId provenance and last-synced freshness across every partner entity"
DQ-032,data_pipeline,partner_degradation,safe behavior when remote entity or integration is unavailable,partial,blocker,code,2026-07-15T03:20:00.000Z,,,src/lib/search/search-query.ts,"Search has Postgres/static degradation; equivalent consolidated evidence for all partner adapters is absent"
DQ-033,rendering,key_entity_counts,DB API SSR and UI count consistency,not_measured,high,gap,2026-07-15T03:20:00.000Z,,,docs/release-2026-07/data-quality-report.csv,"No cross-layer count reconciliation artifact was available"
DQ-034,search,public_search_index,unique document ids,fail,high,production_runtime,2026-07-15T03:14:33.000Z,323,3,https://www.goargentina.ru/api/site/search-index,"Three duplicate nav ids map to distinct excursion URLs; hrefs themselves are unique"
DQ-035,search,public_search_index,title and href completeness,pass,high,production_runtime,2026-07-15T03:14:33.000Z,323,0,https://www.goargentina.ru/api/site/search-index,"No missing titles or hrefs"
DQ-036,search,public_search_index,no private or token routes,pass,blocker,production_runtime,2026-07-15T03:14:33.000Z,323,0,https://www.goargentina.ru/api/site/search-index,"No admin profile organizer auth or password-reset route patterns detected"
DQ-037,search,static_search_index,no noIndex blog posts,pass,blocker,test,2026-07-15T03:16:10.000Z,1,0,src/lib/sprint1-stabilization.test.ts,"Static index exclusion regression test passed"
DQ-038,seo,production_sitemap,URL status and locale integrity,pass,high,production_runtime,2026-07-15T00:32:39.264Z,1172,0,var/ops/seo-audit-last.json,"No sitemap status or i18n issues"
DQ-039,release,focused_data_quality_tests,focused integrity suite,pass,high,test,2026-07-15T03:16:10.000Z,33,0,"Vitest focused run: six files","Search publication places media booking and payment integrity tests passed"
DQ-040,database,migration_dry_run,all pending migrations dry-run against production-equivalent schema,not_measured,blocker,gap,2026-07-15T03:20:00.000Z,,,docs/release-2026-07/data-quality-report.csv,"No current consolidated migration dry-run artifact was available to this agent"
