id,source,target,category,intended_status,production_result,mechanism,target_check,query_policy,release_status,notes
R026,/blog/buenos-aires-neighborhoods,/blog/buenos-aires-rajony,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact language/slug replacement"
R027,/blog/mendoza-wine-route,/blog/mendoza-vinnyj-gid,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact language/slug replacement"
R028,/parki/ischigualasto-valle-de-la-luna,/blog/ischigualasto-valle-de-la-luna,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R029,/auth/reset-password,/account/update-password,application-legacy,307,307,App Router redirect,protected utility page,preserved,PASS,"Temporary method-preserving redirect is suitable for auth recovery links"
R030,/contact,/contacts,legacy-exact,301,404 noindex,none,200 self-canonical,n/a,GAP,"Exact replacement exists; add a permanent redirect"
R031,/contact/,/contacts,legacy-trailing-slash,301,308 -> /contact -> 404 noindex,platform then none,200 self-canonical,n/a,GAP,"Current normalization creates a dead-end chain"
R032,/privacy-policy,/legal/privacy,legacy-exact,301,404 noindex,none,200 self-canonical,n/a,GAP,"Exact legal replacement exists; add a permanent redirect"
R033,/politika-konfidencialnosti,/legal/privacy,legacy-exact,301,404 noindex,none,200 self-canonical,n/a,GAP,"Exact legal replacement exists; add a permanent redirect"
R034,/about-us,/about,legacy-exact,301,404 noindex,none,200 self-canonical,n/a,GAP,"Exact replacement exists; add a permanent redirect"
R035,/o-nas,/about,legacy-exact,301,404 noindex,none,200 self-canonical,n/a,GAP,"Exact replacement exists; add a permanent redirect"
R036,/footer,,removed-template-route,410,404 noindex,none,n/a,n/a,GAP,"Known imported template route has no content replacement; 410 is preferable once confirmed in legacy inventory"
R037,/st_location/buenos-aires,,legacy-wordpress-location,404,404 noindex,none,n/a,n/a,PASS,"Do not redirect by pattern; create 301 only after an exact destination/place match is approved"
R038,/st_location/argentina,,legacy-wordpress-location,404,404 noindex,none,n/a,n/a,PASS,"Do not redirect broad location archives to home"
R039,/hotel_room/test,,legacy-wordpress-hotel,410,404 noindex,none,n/a,n/a,GAP,"Known removed test/entity route; use 410 after confirming no equivalent product"
R040,/sample-page,,legacy-wordpress-template,410,404 noindex,none,n/a,n/a,GAP,"Known WordPress sample route; no relevant replacement"
R041,/demo,,removed-demo-route,410,404 noindex,none,n/a,n/a,GAP,"Known demo namespace should explicitly signal removal if it appeared in the old index"
R042,/demo-route,,removed-demo-route,410,404 noindex,none,n/a,n/a,GAP,"Known demo route should explicitly signal removal if it appeared in the old index"
R043,/wp-admin,,blocked-wordpress-probe,403,403,edge/firewall,n/a,n/a,PASS,"Security probe route; 403 is acceptable and must not redirect"
R044,/wp-login.php,,blocked-wordpress-probe,403,403,edge/firewall,n/a,n/a,PASS,"Security probe route; 403 is acceptable and must not redirect"
R045,/wp-content/uploads/example.jpg,,blocked-wordpress-probe,403,403,edge/firewall,n/a,n/a,REVIEW,"Generic probe is blocked; real migrated media URLs require an evidence-based asset map rather than a blanket redirect"
