"id","path","title","topic","risk_level","jurisdiction","locale","publication_status","site_ready","confidence","last_verified","review_due_at","source_count","official_source_count","primary_source_url","source_authority","reviewer","translation_status","review_status","release_status","finding","evidence_checked_at"
"byt-i-zhilyo","content/knowledge-base/byt/byt-i-zhilyo.md","Быт в Аргентине: квартиры, отопление, коммуналка","legal","medium","Argentina","ru","published","true","high","2026-07-04","2026-08-18","1","0","../pereezd/zhile-i-arenda.md","Записи базы о жилье, климате, связи и деньгах + личный опыт релокантов","","ru_source_only","review_required","hold_for_human_approval","No official primary source; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"byudzhet-poezdki","content/knowledge-base/dengi/byudzhet-poezdki.md","Бюджет поездки по Аргентине","finance","medium","Argentina","ru","published","true","medium","2026-07-02","2026-08-16","2","0","https://www.budgetyourtrip.com/argentina","Budget Your Trip — Argentina travel costs","","ru_source_only","review_required","hold_for_human_approval","No official primary source; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"caucete-san-juan","content/knowledge-base/dostoprimechatelnosti/caucete-san-juan.md","Caucete, San Juan","immigration","high","Argentina","ru","stub","false","medium","2026-07-07","2026-08-21","1","1","https://www.argentina.travel/actividades/caucete-san-juan","Visit Argentina — Caucete, San Juan","","ru_source_only","review_required","not_release_ready","Not marked site_ready; Content status is stub; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"certificado-de-domicilio","content/knowledge-base/pereezd/certificado-de-domicilio.md","Как подтвердить адрес в Аргентине: certificado de domicilio","immigration","high","Argentina","ru","published","false","medium","2026-07-12","2026-08-26","3","3","https://buenosaires.gob.ar/tramites/solicitud-de-certificado-de-domicilio-para-extranjeros-sin-dni","Buenos Aires Ciudad — Solicitud de Certificado de Domicilio para extranjeros sin DNI","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"certificado-de-legalidad-prav","content/knowledge-base/transport/certificado-de-legalidad-prav.md","Certificado de legalidad водительских прав: что это и зачем","entry-rules","high","Argentina","ru","published","false","medium","2026-07-12","2026-08-26","2","2","https://www.argentina.gob.ar/servicio/obtener-el-certificado-de-legalidad-internacional-de-la-licencia-de-conducir","Argentina.gob.ar — Obtener el Certificado de Legalidad Internacional de la licencia de conducir","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"chek-list-pereezda","content/knowledge-base/pereezd/chek-list-pereezda.md","Чек-лист переезда в Аргентину: по этапам","immigration","high","Argentina","ru","published","true","high","2026-07-04","2026-08-18","1","0","../pereezd/vnzh-argentina.md","Профильные гайды переезда этой базы знаний","","ru_source_only","review_required","hold_for_human_approval","No official primary source; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"chto-takoe-dni-i-cuil","content/knowledge-base/faq/chto-takoe-dni-i-cuil.md","Что такое DNI, CUIL и CUIT в Аргентине и зачем они нужны?","finance","high","Argentina","ru","published","false","high","2026-06-30","2026-08-14","0","0","","","","ru_source_only","source_missing","blocked","No source in record; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"chto-takoe-mep","content/knowledge-base/faq/chto-takoe-mep.md","Что такое MEP в Аргентине и зачем он нужен?","finance","high","Argentina","ru","published","false","medium","2026-06-30","2026-08-14","0","0","","","","ru_source_only","source_missing","blocked","No source in record; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"chto-takoe-prekariya","content/knowledge-base/faq/chto-takoe-prekariya.md","Что такое прекария (Residencia Precaria) в Аргентине и что она даёт?","finance","high","Argentina","ru","published","false","medium","2026-07-01","2026-08-15","2","1","https://www.boletinoficial.gob.ar/detalleAviso/primera/326096/20250529","Boletín Oficial — Decreto 366/2025","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"chto-takoe-sube","content/knowledge-base/faq/chto-takoe-sube.md","Что такое карта SUBE и нужна ли она туристу?","finance","high","Argentina","ru","published","false","high","2026-07-01","2026-08-15","2","1","https://www.argentina.gob.ar/sube","Argentina.gob.ar — SUBE (официальный портал)","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"circuito-callejero-de-potrero-de-los-funes","content/knowledge-base/dostoprimechatelnosti/circuito-callejero-de-potrero-de-los-funes.md","Street circuit in Potrero de los Funes","immigration","high","Argentina","ru","stub","false","medium","2026-07-07","2026-08-21","1","1","https://www.argentina.travel/actividades/circuito-callejero-de-potrero-de-los-funes","Visit Argentina — Circuito callejero de Potrero de los Funes","","ru_source_only","review_required","not_release_ready","Not marked site_ready; Content status is stub; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"circuito-cultural-en-formosa","content/knowledge-base/dostoprimechatelnosti/circuito-cultural-en-formosa.md","Cultural circuit in Formosa","immigration","high","Argentina","ru","stub","false","medium","2026-07-07","2026-08-21","1","1","https://www.argentina.travel/actividades/circuito-cultural-en-formosa","Visit Argentina — Circuito cultural en Formosa","","ru_source_only","review_required","not_release_ready","Not marked site_ready; Content status is stub; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"circuito-de-cervecerias-en-rosario","content/knowledge-base/dostoprimechatelnosti/circuito-de-cervecerias-en-rosario.md","Brewers’ circuit in Rosario","immigration","high","Argentina","ru","stub","false","medium","2026-07-07","2026-08-21","1","1","https://www.argentina.travel/actividades/circuito-de-cervecerias-en-rosario","Visit Argentina — Circuito de cervecerías en Rosario","","ru_source_only","review_required","not_release_ready","Not marked site_ready; Content status is stub; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"circuito-gastronomico-en-el-rio-parana","content/knowledge-base/dostoprimechatelnosti/circuito-gastronomico-en-el-rio-parana.md","Food circuit on the Paraná river","immigration","high","Argentina","ru","stub","false","medium","2026-07-07","2026-08-21","1","1","https://www.argentina.travel/actividades/circuito-gastronomico-en-el-rio-parana","Visit Argentina — Circuito gastronómico en el río Paraná","","ru_source_only","review_required","not_release_ready","Not marked site_ready; Content status is stub; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"dni-cuil","content/knowledge-base/pereezd/dni-cuil.md","DNI и CUIL/CUIT в Аргентине: пошагово для иностранца","immigration","high","Argentina","ru","published","true","medium","2026-07-02","2026-08-16","3","3","https://www.argentina.gob.ar/interior/dni/extranjeros","Argentina.gob.ar — DNI для иностранцев в стране","","ru_source_only","review_required","hold_for_human_approval","No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"dni-cuil-cuit-putanitsa","content/knowledge-base/lichnyy-opyt/dni-cuil-cuit-putanitsa.md","CUIL, CUIT, CDI, AFIP/ARCA — путаница в названиях, которая стоит реального времени","finance","medium","Argentina","ru","published","false","medium","2026-06-30","2026-08-14","1","0","","Переезд-DNI-и-CUIL-пошагово.md, Переезд-Банковский-счёт-и-финансы.md — разделы «Практические советы» и «Частые ошибки»","","ru_source_only","review_required","not_release_ready","No official primary source; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"dokumenty-dlya-poezdki-na-avto","content/knowledge-base/transport/dokumenty-dlya-poezdki-na-avto.md","Какие документы нужны, чтобы ездить на автомобиле в Аргентине","finance","high","Argentina","ru","published","false","medium","2026-07-12","2026-08-26","2","2","https://www.argentina.gob.ar/seguridadvial/licencianacional/documentacion","Argentina.gob.ar — Documentación obligatoria para circular","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"esim-i-svyaz","content/knowledge-base/svyaz/esim-i-svyaz.md","eSIM и связь в Аргентине","immigration","high","Argentina","ru","published","true","medium","2026-07-02","2026-08-16","2","0","https://www.airalo.com/argentina-esim","Airalo — eSIM для Аргентины","","ru_source_only","review_required","hold_for_human_approval","No official primary source; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"falshivye-policejskie-i-obmenniki","content/knowledge-base/lichnyy-opyt/falshivye-policejskie-i-obmenniki.md","Слишком хороший курс на обмене — почти всегда повод насторожиться, а не обрадоваться","legal","medium","Argentina","ru","published","false","medium","2026-06-30","2026-08-14","1","0","","Деньги-как-менять-валюту-Аргентина.md, Практика-Безопасность-в-Аргентине.md — разделы «Практические советы» и «Частые ошибки»","","ru_source_only","review_required","not_release_ready","No official primary source; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"futbol-kak-popast-bez-skama","content/knowledge-base/lichnyy-opyt/futbol-kak-popast-bez-skama.md","На футбол в Аргентине нельзя купить билет «как в Европе» — и это меняет весь план","health","medium","Argentina","ru","published","false","medium","2026-06-30","2026-08-14","1","0","","Культура-Футбол-в-Аргентине.md — разделы «Практические советы» и «Частые ошибки»","","ru_source_only","review_required","not_release_ready","No official primary source; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"gid-po-dengam","content/knowledge-base/dengi/gid-po-dengam.md","Деньги в Аргентине: полный тематический гид","finance","high","Argentina","ru","published","true","high","2026-07-05","2026-08-19","0","0","","","","ru_source_only","source_missing","blocked","No source in record; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"gid-po-dokumentam","content/knowledge-base/pereezd/gid-po-dokumentam.md","Документы и легализация в Аргентине: полный тематический гид","immigration","high","Argentina","ru","published","true","high","2026-07-05","2026-08-19","0","0","","","","ru_source_only","source_missing","blocked","No source in record; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"gid-po-medicine","content/knowledge-base/medicina/gid-po-medicine.md","Медицина и здоровье в Аргентине: полный тематический гид","health","high","Argentina","ru","published","true","high","2026-07-05","2026-08-19","0","0","","","","ru_source_only","source_missing","blocked","No source in record; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"gid-po-zhilyu","content/knowledge-base/zhile/gid-po-zhilyu.md","Жильё в Аргентине: полный тематический гид","finance","high","Argentina","ru","published","true","high","2026-07-05","2026-08-19","0","0","","","","ru_source_only","source_missing","blocked","No source in record; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"gid-relokanta","content/knowledge-base/pereezd/gid-relokanta.md","Гид релоканта: весь путь переезда в Аргентину по этапам","immigration","high","Argentina","ru","published","true","high","2026-07-05","2026-08-19","0","0","","","","ru_source_only","source_missing","blocked","No source in record; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"gosudarstvennye-prilozheniya","content/knowledge-base/svyaz/gosudarstvennye-prilozheniya.md","Государственные приложения Аргентины: Mi Argentina, miBA, ARCA","finance","high","Argentina","ru","published","false","medium","2026-07-12","2026-08-26","3","3","https://www.argentina.gob.ar/aplicaciones/mi-argentina","Argentina.gob.ar — Mi Argentina (приложение)","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"govoryat-li-v-argentine-po-anglijski","content/knowledge-base/faq/govoryat-li-v-argentine-po-anglijski.md","Говорят ли в Аргентине по-английски?","legal","medium","Argentina","ru","published","false","high","2026-07-04","2026-08-18","1","0","../kultura/ispanskij-dlya-puteshestvennika.md","Гайд по испанскому для путешественника — эта же база знаний","","ru_source_only","review_required","not_release_ready","No official primary source; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"grazhdanstvo","content/knowledge-base/pereezd/grazhdanstvo.md","Гражданство Аргентины: натурализация и правила 2026","immigration","high","Argentina","ru","published","true","medium","2026-07-02","2026-08-16","3","3","https://www.argentina.gob.ar/servicio/migraciones-otorgara-la-ciudadania-argentina","Argentina.gob.ar / Migraciones — Migraciones otorgará la ciudadanía argentina","","ru_source_only","review_required","hold_for_human_approval","No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"inflyatsiya-i-ekonomika","content/knowledge-base/dengi/inflyatsiya-i-ekonomika.md","Инфляция и экономика Аргентины простыми словами","finance","medium","Argentina","ru","published","true","medium","2026-07-03","2026-08-17","2","1","https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-5-31","INDEC — Índice de precios al consumidor (официальная инфляция)","","ru_source_only","review_required","hold_for_human_approval","No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"istoriya-argentiny","content/knowledge-base/kultura/istoriya-argentiny.md","Краткая история Аргентины для путешественника","health","medium","Argentina","ru","published","true","high","2026-07-03","2026-08-17","2","1","https://www.argentina.gob.ar/efemerides","Argentina.gob.ar — Efemérides / история государства","","ru_source_only","review_required","hold_for_human_approval","No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"kak-dobratsya-iz-rossii","content/knowledge-base/transport/kak-dobratsya-iz-rossii.md","Как добраться из России и СНГ в Аргентину","entry-rules","high","Argentina","ru","published","true","medium","2026-07-02","2026-08-16","2","2","https://www.argentina.travel/en/news/argentina-visa-who-needs-to-apply-for-tourism-travel-what-are-the-requirements-and-how-to-apply","Argentina.travel — визовые требования для туристов","","ru_source_only","review_required","hold_for_human_approval","No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"kak-menyat-valyutu","content/knowledge-base/dengi/kak-menyat-valyutu.md","Как менять валюту в Аргентине: курс, blue, MEP, карты","finance","medium","Argentina","ru","published","true","high","2026-07-03","2026-08-17","2","0","https://www.cronista.com/finanzas-mercados/","El Cronista — котировки dólar blue/MEP/CCL","","ru_source_only","review_required","hold_for_human_approval","No official primary source; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"kak-oplatit-tur-i-zhilyo-zaranee","content/knowledge-base/faq/kak-oplatit-tur-i-zhilyo-zaranee.md","Как оплатить тур, отель или экскурсию заранее, если моя карта РФ не работает?","finance","high","Argentina","ru","published","false","medium","2026-07-05","2026-08-19","0","0","","","","ru_source_only","source_missing","blocked","No source in record; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"kak-perevezti-kota-ili-sobaku","content/knowledge-base/faq/kak-perevezti-kota-ili-sobaku.md","Как перевезти кота или собаку в Аргентину?","health","medium","Argentina","ru","published","false","high","2026-07-01","2026-08-15","2","1","https://www.argentina.gob.ar/senasa/informacion-al-viajero/ingresar-o-regresar-al-pais/ingresos-con-perros-yo-gatos","SENASA — Ingresos con perros y/o gatos","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"kak-platit-esli-karta-rf-ne-rabotaet","content/knowledge-base/faq/kak-platit-esli-karta-rf-ne-rabotaet.md","Как платить в Аргентине, если карты российских банков не работают?","finance","high","Argentina","ru","published","false","high","2026-06-30","2026-08-14","0","0","","","","ru_source_only","source_missing","blocked","No source in record; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"kak-poluchit-grazhdanstvo-za-2-goda","content/knowledge-base/faq/kak-poluchit-grazhdanstvo-za-2-goda.md","Правда ли, что гражданство Аргентины можно получить за 2 года?","immigration","high","Argentina","ru","published","false","high","2026-06-30","2026-08-14","0","0","","","","ru_source_only","source_missing","blocked","No source in record; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"kak-poluchit-prava-v-argentine","content/knowledge-base/transport/kak-poluchit-prava-v-argentine.md","Как получить водительские права в Аргентине: иностранные, обмен и с нуля","legal","medium","Argentina","ru","published","false","medium","2026-07-12","2026-08-26","4","4","https://www.argentina.gob.ar/seguridadvial/licencianacional/consulta-sobre-los-acuerdos-internacionales-de-licencias-de-conducir","Argentina.gob.ar — Acuerdos Internacionales de Licencias de Conducir","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"kak-snyat-kvartiru-bez-garanta","content/knowledge-base/faq/kak-snyat-kvartiru-bez-garanta.md","Как снять квартиру в Аргентине без гаранта (garantía)?","finance","medium","Argentina","ru","published","false","medium","2026-07-01","2026-08-15","2","1","https://www.argentina.gob.ar/justicia/derechofacil/leysimple/alquileres","Argentina.gob.ar — normativa de alquileres","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"kakie-dokumenty-vezti-s-soboj","content/knowledge-base/faq/kakie-dokumenty-vezti-s-soboj.md","Какие документы везти с собой при переезде в Аргентину?","legal","medium","Argentina","ru","published","false","high","2026-07-01","2026-08-15","3","2","https://www.argentina.gob.ar/servicio/obtener-una-residencia-temporaria-como-rentista","DNM — Obtener una residencia temporaria como rentista","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"kakoj-dohod-nuzhen-dlya-rantye","content/knowledge-base/faq/kakoj-dohod-nuzhen-dlya-rantye.md","Какой доход нужен для получения резиденции рантье в Аргентине?","finance","high","Argentina","ru","published","false","medium","2026-06-30","2026-08-14","0","0","","","","ru_source_only","source_missing","blocked","No source in record; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"kaminito-la-boka","content/knowledge-base/dostoprimechatelnosti/kaminito-la-boka.md","Каминито и квартал Ла-Бока","health","medium","Argentina","ru","published","true","high","2026-07-02","2026-08-16","4","0","https://www.rubueno.ru/news/caminito","RuBueno — Улица Каминито (Ла-Бока), Буэнос-Айрес: история","","ru_source_only","review_required","hold_for_human_approval","No official primary source; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"kemping-i-palatki","content/knowledge-base/zhile/kemping-i-palatki.md","Кемпинг и палатки в Аргентине","finance","medium","Argentina","ru","published","false","medium","2026-07-06","2026-08-20","1","1","https://www.argentina.gob.ar/parquesnacionales","Общие справочные данные (факты сверены, текст переписан)","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"kogda-uchebnyj-god-v-argentine","content/knowledge-base/faq/kogda-uchebnyj-god-v-argentine.md","Когда начинается учебный год в Аргентине?","legal","medium","Argentina","ru","published","false","high","2026-07-01","2026-08-15","2","0","https://childrenworld.club/blog/obrazovania-v-argentine","childrenworld.club — Образование детей в Аргентине","","ru_source_only","review_required","not_release_ready","No official primary source; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"kovorkingi-i-rabota-nomada","content/knowledge-base/svyaz/kovorkingi-i-rabota-nomada.md","Коворкинги и удалённая работа в Аргентине","legal","medium","Argentina","ru","published","true","medium","2026-07-03","2026-08-17","2","1","https://www.argentina.gob.ar/servicio/obtener-una-residencia-transitoria-como-nomada-digital","Argentina.gob.ar — резиденция цифрового кочевника (контекст инфраструктуры)","","ru_source_only","review_required","hold_for_human_approval","No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"medicina-i-strahovka","content/knowledge-base/medicina/medicina-i-strahovka.md","Медицина и страховка в Аргентине","health","high","Argentina","ru","published","false","medium","2026-06-30","2026-08-14","4","0","https://vnz.su/articles/zhit-v-argentine-meditsina-i-strahovka/","Vnz.su — Жить в Аргентине: медицина и страховка","","ru_source_only","review_required","not_release_ready","No official primary source; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"mentalitet-i-etiket","content/knowledge-base/kultura/mentalitet-i-etiket.md","Менталитет и этикет аргентинцев: как здесь принято","legal","medium","Argentina","ru","published","true","high","2026-07-05","2026-08-19","1","0","../kultura/rossiya-vs-argentina.md","Записи базы: интересные факты, Россия vs Аргентина, асадо, мате, праздники","","ru_source_only","review_required","hold_for_human_approval","No official primary source; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"motochorros-telefon-na-ulitse","content/knowledge-base/lichnyy-opyt/motochorros-telefon-na-ulitse.md","Телефон в руке у края тротуара — самая частая ошибка туриста в Буэнос-Айресе","health","medium","Argentina","ru","published","false","medium","2026-06-30","2026-08-14","1","0","","Практика-Безопасность-в-Аргентине.md, Города-Буэнос-Айрес-районы.md — разделы «Практические советы» и «Частые ошибки»","","ru_source_only","review_required","not_release_ready","No official primary source; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"mountain-bike-en-piedra-del-aguila","content/knowledge-base/dostoprimechatelnosti/mountain-bike-en-piedra-del-aguila.md","Mountain biking in Piedra del Águila","immigration","high","Argentina","ru","stub","false","medium","2026-07-07","2026-08-21","1","1","https://www.argentina.travel/actividades/mountain-bike-en-piedra-del-aguila","Visit Argentina — Mountain bike en Piedra del Águila","","ru_source_only","review_required","not_release_ready","Not marked site_ready; Content status is stub; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"mozhno-li-delat-vizaran","content/knowledge-base/faq/mozhno-li-delat-vizaran.md","Можно ли жить в Аргентине на визаранах, как в Азии?","health","medium","Argentina","ru","published","false","medium","2026-07-01","2026-08-15","2","1","https://www.argentina.gob.ar/migraciones/documentacion-para-ingresar-al-pais-como-turista","Argentina.gob.ar / Migraciones — Documentación para ingresar al país como turista","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"mozhno-li-ezdit-po-inostrannym-pravam","content/knowledge-base/faq/mozhno-li-ezdit-po-inostrannym-pravam.md","Можно ли ездить в Аргентине по иностранным (российским) правам?","health","medium","Argentina","ru","published","false","medium","2026-07-12","2026-08-26","2","2","https://www.argentina.gob.ar/transporte/mundial-sub-20-argentina-2023/informacion-sobre-licencias-de-conducir-internacionales","Argentina.gob.ar — Información sobre Licencias de Conducir Internacionales","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"mozhno-li-otkryt-schet-nerezidentu","content/knowledge-base/faq/mozhno-li-otkryt-schet-nerezidentu.md","Можно ли иностранцу открыть банковский счёт в Аргентине без резиденции?","finance","high","Argentina","ru","published","false","medium","2026-06-30","2026-08-14","0","0","","","","ru_source_only","source_missing","blocked","No source in record; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"mozhno-li-pit-vodu-iz-krana","content/knowledge-base/faq/mozhno-li-pit-vodu-iz-krana.md","Можно ли пить воду из-под крана в Аргентине?","health","medium","Argentina","ru","published","false","high","2026-07-04","2026-08-18","1","0","../medicina/sistema-zdravoohraneniya.md","Записи о здравоохранении и безопасности — эта же база знаний","","ru_source_only","review_required","not_release_ready","No official primary source; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"mozhno-li-rabotat-na-mestnuyu-kompaniyu","content/knowledge-base/faq/mozhno-li-rabotat-na-mestnuyu-kompaniyu.md","Можно ли иностранцу устроиться на работу в аргентинскую компанию?","immigration","high","Argentina","ru","published","false","medium","2026-07-01","2026-08-15","2","1","https://www.argentina.gob.ar/servicio/obtener-una-residencia-temporaria-como-trabajador-migrante","DNM — Obtener una residencia temporaria como trabajador migrante","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"mozhno-li-uchitsya-v-universitete-besplatno","content/knowledge-base/faq/mozhno-li-uchitsya-v-universitete-besplatno.md","Может ли иностранец учиться в аргентинском университете бесплатно?","immigration","high","Argentina","ru","published","false","medium","2026-07-01","2026-08-15","2","1","https://www.boletinoficial.gob.ar/detalleAviso/primera/326096/20250529","Boletín Oficial — Decreto 366/2025","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"mozhno-li-vodit-po-rossijskim-pravam","content/knowledge-base/faq/mozhno-li-vodit-po-rossijskim-pravam.md","Можно ли водить машину в Аргентине по российским правам?","health","medium","Argentina","ru","published","false","medium","2026-07-01","2026-08-15","3","2","https://www.aca.org.ar/registro-internacional/","Automóvil Club Argentino (ACA) — Permiso Internacional","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
