"inventory_id","corpus","source_path","content_kind","locale","records","published","stub","backlog","site_ready","sensitive","missing_sources","review_due","quality_findings","indexing_state","owner","release_status","evidence_checked_at"
"kb-pereezd","Knowledge base","content/knowledge-base/pereezd/","markdown entities","ru","30","30","0","0","22","30","2","0","1 titles start in Latin script; 22 site_ready records lack hero; 2 sensitive records lack sources","mixed: only site_ready may be publishable","Content editor","review_required","2026-07-15"
"kb-pokupki","Knowledge base","content/knowledge-base/pokupki/","markdown entities","ru","1","1","0","0","0","1","0","0","No aggregate blocker detected by generated manifest","mixed: only site_ready may be publishable","Content editor","inventory_verified","2026-07-15"
"kb-priroda","Knowledge base","content/knowledge-base/priroda/","markdown entities","ru","1","1","0","0","1","0","0","0","No aggregate blocker detected by generated manifest","mixed: only site_ready may be publishable","Content editor","inventory_verified","2026-07-15"
"kb-puteshestvie","Knowledge base","content/knowledge-base/puteshestvie/","markdown entities","ru","6","6","0","0","6","3","0","0","6 site_ready records lack hero","mixed: only site_ready may be publishable","Content editor","review_required","2026-07-15"
"kb-regiony","Knowledge base","content/knowledge-base/regiony/","markdown entities","ru","8","8","0","0","8","0","0","0","No aggregate blocker detected by generated manifest","mixed: only site_ready may be publishable","Content editor","inventory_verified","2026-07-15"
"kb-svyaz","Knowledge base","content/knowledge-base/svyaz/","markdown entities","ru","4","4","0","0","3","3","0","0","1 titles start in Latin script; 3 site_ready records lack hero","mixed: only site_ready may be publishable","Content editor","review_required","2026-07-15"
"kb-transport","Knowledge base","content/knowledge-base/transport/","markdown entities","ru","18","18","0","0","11","8","0","0","1 titles start in Latin script; 5 site_ready records lack hero","mixed: only site_ready may be publishable","Content editor","review_required","2026-07-15"
"kb-zhile","Knowledge base","content/knowledge-base/zhile/","markdown entities","ru","4","4","0","0","3","3","1","0","3 site_ready records lack hero; 1 sensitive records lack sources","mixed: only site_ready may be publishable","Content editor","review_required","2026-07-15"
"blog-rich","Blog rich articles","src/data/blog-articles/","TypeScript article modules","ru","15","","","","","","","","Local modules audited by file count; runtime CMS precedence and production publication count not established","public routes exist; per-record production state unknown","Content editor","production_verification_required","2026-07-15"
"blog-manual","Blog manual imports","src/data/blog-manual-from-md/","TypeScript article modules","ru","15","","","","","","","","Local fallback corpus; possible overlap with CMS canonical documents","runtime fallback; indexing depends resolver","Content editor","review_required","2026-07-15"
"blog-editorial","Blog editorial collections","src/data/blog-editorial/","TypeScript editorial modules","ru","7","","","","","","","","File count only; item-level production usage requires runtime resolver audit","runtime dependent","Content editor","production_verification_required","2026-07-15"
"cms-live","CMS content documents","Supabase content_documents + content_document_versions","CMS records","ru/es/en","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","No live database snapshot was available within Agent 5 file-only scope","unknown until read-only production export","Content editor","blocked_external","2026-07-15"
"locale-ru","UI message catalog","src/locales/ru/common.json","UI strings","ru","664","","","","","","","","Reference catalog; route content remains predominantly Russian","unprefixed canonical","Localization editor","reference_complete","2026-07-15"
"locale-en","UI message catalog","src/locales/en/common.json","UI strings","en","663","","","","","","","","1 key missing versus RU: nav.forum; page bodies are not proven fully translated","/en rewrite is indexable on eligible paths","Localization editor","not_release_ready","2026-07-15"
"locale-es","UI message catalog","src/locales/es/common.json","UI strings","es","625","","","","","","","","39 keys missing versus RU; places UI incomplete; page bodies are not proven fully translated","/es rewrite is indexable on eligible paths","Localization editor","release_blocked","2026-07-15"
"locale-pt","UI message catalog","src/locales/pt/common.json","UI strings","pt","615","","","","","","","","49 keys missing versus RU; locale is offered in UI but excluded from URL locale config and hreflang","no dedicated public URL; client-only preference falls back to English i18n mapping","Localization editor","release_blocked","2026-07-15"
