"id","domain","event","recipient","channel","trigger","template_or_renderer","locale","subject_or_title","cta_or_link","preferences_and_unsubscribe","dedupe_or_retry","status","gap","severity","evidence"
"EMAIL-06","messaging","Новое сообщение в переписке","Турист или организатор","Resend email + in-app + push","Создание conversation message или expert inquiry message","renderNewMessageEmail","ru only","Новое сообщение по заявке — {tourTitle}","/profile/messages?thread=... или /organizer/messages?thread=...","Категория booking; unsubscribe для зарегистрированного адресата","In-app dedupe по message id и recipient; email/push retry отсутствует","implemented_with_gap","В email попадает фрагмент пользовательского сообщения; нет отдельной категории messaging и granular preference; ошибки всех каналов non-blocking","P2","src/lib/notifications/messaging-notify.ts; src/lib/notifications/email-templates/new-message.ts; src/app/api/conversations/[threadId]/messages/route.ts"
"EMAIL-07","booking","Напоминание за 24 часа","Турист и организатор","Resend email + in-app + push","Cron /api/cron/messaging/booking-reminder-24h","renderBookingReminder24hEmail","ru only","Напоминание о поездке — {tourTitle}","/profile/bookings/{id} или /organizer/bookings/{id}","Категория booking; unsubscribe для пользователя","Dedupe опирается на in-app notification_event; внешней retry queue нет","implemented_with_gap","Если in-app отключён, dedupe-событие не записывается; отчёт cron считает созданные jobs, а не подтверждённые доставки по каналам","P1","src/app/api/cron/messaging/booking-reminder-24h/route.ts; src/lib/notifications/messaging-notify.ts"
"EMAIL-08","booking","Подготовка к поездке за 7/3/1 день","Турист","Resend email + in-app","Cron /api/cron/trip-prep/reminders","renderTripPrepReminderEmail","ru only","Подготовка к поездке — {tourTitle}","/profile/trip-prep?bookingId={id}","Категория booking; unsubscribe для пользователя","trip_prep_reminders_sent предотвращает повтор","implemented_with_gap","Маркер sent записывается после функции, которая возвращает success даже при недоставленном email; гостевой CTA может потребовать аккаунт; даты рассчитываются в UTC, а 24h cron использует Buenos Aires","P1","src/lib/notifications/trip-prep-notify.ts; src/app/api/cron/trip-prep/reminders/route.ts"
"EMAIL-09","reviews","Отзыв одобрен или отклонён","Автор отзыва и администратор","Resend email + in-app для одобрения","Модерация отзыва в reviews-server","renderReviewApprovedEmail","ru only","Ваш отзыв опубликован / Решение по отзыву","/tours/{tourSlug} только при approve","Категория reviews; пользовательский unsubscribe URL","In-app имеет dedupe; email retry отсутствует","implemented_with_gap","Автор и администратор объединены в одном to и получают пользовательский unsubscribe token; email event в БД не является доказательством доставки","P1","src/lib/reviews-server.ts; src/lib/notifications/email-delivery.ts; src/lib/notifications/notifications-server.ts"
"EMAIL-10","reviews","Новый опубликованный отзыв","Организатор и администратор","Resend email + in-app","Одобрение отзыва","Inline template in sendOrganizerNewReviewEmail","ru only","Новый опубликованный отзыв: {tourTitle}","/organizer/reviews?tour={slug}","Preferences и unsubscribe не проверяются","In-app dedupe есть; email retry/dedupe отсутствуют","implemented_with_gap","Организатор и администратор объединены в to; письмо обходит notification preferences и не имеет List-Unsubscribe","P2","src/lib/notifications/email-delivery.ts; src/lib/notifications/notifications-server.ts"
"NOTIFY-01","reviews","Системные записи email для одобренного отзыва","Автор и организатор","notification_events channel=email","emitReviewApprovedNotifications","notification_events payload","ru only","Отзыв опубликован / Новый опубликованный отзыв","/tours/{slug}; /organizer/reviews?review={id}","Учитывает email preference","DB unique dedupe key","misleading","В проекте не найден worker, который доставляет строки notification_events с channel=email; канал email здесь означает запись в БД, а не отправку","P1","src/lib/notifications/notifications-server.ts; src/app/api/notifications/route.ts"
"NOTIFY-02","group_trip","Минимальный состав группы набран","Организатор и участники","in-app; organizer также notification_events email","emitGroupTripMinReachedNotifications","notification_events payload","ru only","Минимальный состав группы набран","/organizer/group-trips?listing={id}; /profile/group-trips?listing={id}","Категория booking","DB unique dedupe key","partial","Организаторский email только записывается как channel=email и не доставляется; участникам email не предусмотрен","P1","src/lib/notifications/notifications-server.ts"
"EMAIL-11","privacy","Удаление персональных данных завершено","Заявитель","Resend email","Privacy delete automation после завершения","renderPrivacyDeleteCompletedEmail","ru only","Запрос на удаление данных выполнен","/profile/settings; mailto поддержки при настроенном admin email","Без preferences и unsubscribe; обязательное сервисное письмо","Retry отсутствует","implemented_with_gap","Функция возвращает true независимо от response.ok, поэтому отчёт может считать письмо отправленным при отказе Resend; CTA в удалённый профиль может быть недоступен после удаления","P1","src/lib/privacy/delete-automation.ts; src/lib/notifications/email-delivery.ts; src/lib/notifications/email-templates/privacy-delete-completed.ts"
"EMAIL-12","moderation","Решение по произвольному объекту модерации","Владелец объекта и администратор","Resend email","PATCH /api/admin/moderation/{id}","Inline HTML in notifyModerationOutcome","ru only","Модерация: {entityTitle} — одобрено/отклонено","CTA отсутствует","Preferences/List-Unsubscribe отсутствуют","Нет dedupe/retry; response.ok не проверяется","implemented_with_gap","Письмо не использует общий брендированный layout, не имеет plain-text fallback и ссылки на объект; владелец и admin объединены в to","P2","src/app/api/admin/moderation/[id]/route.ts; src/lib/admin/moderation-notify.ts"
"EMAIL-13","organizer","Заявка организатора одобрена","Заявитель","Resend email","PATCH /api/admin/organizer-applications/{id}","Inline HTML in notifyOrganizerApplicationReview","ru only","Добро пожаловать в кабинет организатора — Пора в Аргентину","/organizer/tours?welcome=1","Preferences/List-Unsubscribe отсутствуют; сервисное письмо","Нет dedupe/retry; response.ok не проверяется","implemented_with_gap","Нет plain-text fallback и общего email layout; нет подтверждения фактической выдачи роли в тексте/ссылке на поддержку","P2","src/app/api/admin/organizer-applications/[id]/route.ts; src/lib/admin/moderation-notify.ts"
"EMAIL-14","organizer","Заявка организатора отклонена","Заявитель","Resend email","PATCH /api/admin/organizer-applications/{id}","Inline HTML in notifyOrganizerApplicationReview","ru only","Заявка организатора — требуются уточнения","CTA отсутствует","Preferences/List-Unsubscribe отсутствуют; сервисное письмо","Нет dedupe/retry; response.ok не проверяется","implemented_with_gap","applicantName и note вставляются в HTML без escaping; нет CTA для исправления заявки или связи с поддержкой; нет plain text","P1","src/lib/admin/moderation-notify.ts"
"EMAIL-15","organizer","Заявка на роль организатора отправлена","Заявитель и/или администратор","email/in-app expected","Создание organizer application","Шаблон отсутствует","n/a","n/a","n/a","n/a","n/a","missing","Не найдено подтверждение заявителю о приёме заявки и уведомление администратору о новой заявке; пользователь зависит только от состояния UI/кабинета","P1","src/lib/admin/organizer-applications-server.ts; src/app/api/admin/organizer-applications/[id]/route.ts"
"EMAIL-16","admin","Ежедневная сводка событий платформы","LEADS_NOTIFY_EMAIL","Resend email","Cron /api/cron/notifications/digest","renderDigestDailyEmail","ru only","Сводка уведомлений — {date}","CTA отсутствует","Без userId/preferences; admin service mail","Cron может быть повторён; delivery dedupe отсутствует","implemented_with_gap","При отсутствии RESEND_API_KEY cron считается успешным skipped; выборка объединяет все notification_events, включая технические email-строки, без агрегирования и deep link","P2","src/app/api/cron/notifications/digest/route.ts; src/lib/notifications/email-templates/digest-daily.ts"
"EMAIL-17","admin_content","Просроченный контент требует проверки","Редакционный/admin email","Resend email","Cron /api/cron/content-freshness","renderContentFreshnessReportEmail","ru only","Контент: N материалов требуют проверки","/admin/content-freshness и ссылки на материалы","Без preferences; служебное письмо","Cron; отдельной delivery retry/dedupe нет","implemented","Сценарий зависит от одного настроенного email и не имеет per-editor routing; локализация не требуется для RU-first админки","P3","src/app/api/cron/content-freshness/route.ts; src/lib/notifications/email-templates/content-freshness-report.ts"
"NOTIFY-03","admin","Сводка непрочитанных admin notifications","Администратор","email expected","sendAdminUnreadDigestHook","Шаблон отсутствует","n/a","n/a","n/a","n/a","n/a","stub","Функция явно является заглушкой и ничего не отправляет; не должна считаться готовой возможностью","P2","src/lib/notifications/email-delivery.ts"
"NOTIFY-04","legacy_booking","Создание заявки, напоминание об оплате, анкета туристов, статус оплаты","Текущий браузер пользователя","localStorage in-app","bookings-store client/demo flow","booking-notifications.ts + store.ts","ru only","Несколько локальных заголовков","Локальные href из payload","Preferences сервера не учитываются","Только localStorage; нет серверного dedupe","legacy_partial","Уведомления существуют только в конкретном браузере, не синхронизируются между устройствами и могут расходиться с server notification_events","P2","src/lib/notifications/booking-notifications.ts; src/lib/notifications/store.ts; src/lib/bookings-store.ts"
"NOTIFY-05","push","Push по статусу заявки, сообщению и напоминанию 24h","Подписанный пользователь","Web Push","notifyBookingStatusChanged; notifyConversationMessageCreated; notifyBookingReminder24h","sendPushToUser","ru only","Статус/сообщение/напоминание","Профиль, organizer cabinet или переписка","Отдельного push preference в модели нет; используется наличие подписки","Web Push subscription cleanup; durable retry не найден","implemented_with_gap","UI preferences содержит только in_app/email, поэтому пользователь не может отдельно управлять push; часть ошибок проглатывается","P2","src/lib/notifications/push-server.ts; src/app/api/notifications/push/subscribe/route.ts; src/types/notifications-hub.ts"
"EMAIL-18","shop","Заказ цифрового материала создан, оплачен или изменён","Покупатель и оператор","email/in-app expected","Shop order lifecycle","Шаблон и отправитель не найдены","n/a","n/a","n/a","n/a","n/a","missing","Для коммерческого сценария магазина не найдено подтверждение заказа, статуса оплаты, выдачи файла или уведомление оператора","P1","src/lib/shop-order-server.ts; src/lib/shop-order-api.ts; src/app/admin/operations/shop-orders/page.tsx"
"EMAIL-19","booking","Заявка отменена или деньги возвращены","Турист/гость и организатор","status email; payment email only when corresponding paths call notifiers","Booking cancellation/status/payment lifecycle","Общие booking_status_changed и payment_received","ru only","Общий статус заявки / возврат оформлен","/profile/bookings/{id}","booking/payment preferences","Нет единого orchestration/delivery ledger","partial","Нет отдельного шаблона отмены с правилами возврата, следующими шагами и контактом; полнота зависит от того, какой endpoint инициировал переход состояния","P1","src/lib/bookings-notify.ts; src/lib/booking-state-machine.ts; supabase/migrations/20260714234321_atomic_booking_cancellation.sql"
"CROSS-01","all_transactional","Обработка email preferences и отписки","Зарегистрированный пользователь","Resend headers + unsubscribe endpoint","sendTemplateEmail","Shared branded layout","ru only","Отписка от писем этой категории","/api/notifications/unsubscribe?token=...","Категории booking/payment/reviews/system; default enabled","HMAC token без срока действия","implemented_with_gap","Preferences не покрывают auth, privacy и inline moderation; push не представлен; токен отписки бессрочный; при ошибке чтения БД отправка разрешается fail-open","P1","src/lib/notifications/email-delivery.ts; src/lib/notifications/unsubscribe-token.ts; src/app/api/notifications/unsubscribe/route.ts"
"CROSS-02","all_email","Доставка, журналирование и повтор","Все получатели","Supabase SMTP или Resend HTTP","Все auth и application triggers","Supabase templates; email-delivery; inline moderation templates","ru only","Разные","Разные","Разные","Только отдельные event dedupe; общей delivery queue нет","gap","Resend response id/status не сохраняются, нет delivery ledger, bounce/complaint webhook, retry queue и алерта по доле ошибок; многие ошибки намеренно проглатываются","P1","src/lib/notifications/email-delivery.ts; src/lib/admin/moderation-notify.ts; src/lib/bookings-notify.ts"
"CROSS-03","localization","Локализация писем и уведомлений","RU/EN/ES/PT пользователи","Все каналы","Все события","Все шаблоны","ru only","Русские темы и тексты","Русские маршруты/контент","Не зависит от locale пользователя","n/a","gap","Во всех найденных auth, email, in-app и push сценариях отсутствует выбор locale и переведённые шаблоны; при запуске EN/ES/PT пользователи будут получать русский текст","P1","supabase/templates; src/lib/notifications/email-templates; src/lib/notifications/notifications-server.ts; src/lib/notifications/messaging-notify.ts"
