family,path,slug,entityType,currentSource,overrides,canonicalOwner,indexable,action,notes
places,/places/quebrada-de-humahuaca,quebrada-de-humahuaca,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/salinas-grandes,salinas-grandes,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/san-martin-de-los-andes,san-martin-de-los-andes,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/villa-la-angostura,villa-la-angostura,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/rosario,rosario,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/la-plata,la-plata,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/tucuman,tucuman,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/san-salvador-de-jujuy,san-salvador-de-jujuy,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/neuquen,neuquen,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/san-juan,san-juan,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/corrientes,corrientes,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/posadas,posadas,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/bahia-blanca,bahia-blanca,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/rio-gallegos,rio-gallegos,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/trelew,trelew,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/esquel,esquel,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/aconcagua,aconcagua,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/ischigualasto,ischigualasto,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/los-alerces-national-park,los-alerces-national-park,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/trevelin,trevelin,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/quebrada-de-las-conchas,quebrada-de-las-conchas,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/puente-del-inca,puente-del-inca,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/lujan,lujan,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/pilar,pilar,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/zarate,zarate,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/cementerio-de-la-chacarita,cementerio-de-la-chacarita,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/mar-de-las-pampas,mar-de-las-pampas,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/necochea,necochea,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/pinamar,pinamar,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/san-antonio-de-areco,san-antonio-de-areco,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/sierra-de-la-ventana,sierra-de-la-ventana,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/tandil,tandil,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/villa-gesell,villa-gesell,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/barreal,barreal,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/la-rioja,la-rioja,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/las-lenas,las-lenas,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/merlo,merlo,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/san-luis,san-luis,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/san-rafael,san-rafael,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/sierra-de-las-quijadas,sierra-de-las-quijadas,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/villavicencio,villavicencio,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/banado-la-estrella,banado-la-estrella,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/colon-entre-rios,colon-entre-rios,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/federacion,federacion,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/formosa,formosa,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/gualeguaychu,gualeguaychu,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/mercedes-corrientes,mercedes-corrientes,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/parana,parana,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/parque-nacional-chaco,parque-nacional-chaco,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/parque-nacional-el-palmar,parque-nacional-el-palmar,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/parque-nacional-rio-pilcomayo,parque-nacional-rio-pilcomayo,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/saltos-del-mocona,saltos-del-mocona,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/san-ignacio-mini,san-ignacio-mini,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/catamarca,catamarca,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/iruya,iruya,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/kachi,kachi,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/los-cardones,los-cardones,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/ruinas-de-quilmes,ruinas-de-quilmes,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/santiago-del-estero,santiago-del-estero,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/susques,susques,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/tafi-del-valle,tafi-del-valle,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/termas-de-rio-hondo,termas-de-rio-hondo,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/la-cumbrecita,la-cumbrecita,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/lihue-calel,lihue-calel,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/santa-fe,santa-fe,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/santa-rosa,santa-rosa,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/bosque-petrificado,bosque-petrificado,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/el-bolson,el-bolson,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/lanin,lanin,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/los-antiguos,los-antiguos,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/patagonia-park,patagonia-park,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/puerto-deseado,puerto-deseado,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/punta-tombo,punta-tombo,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/patagonia-highlights,patagonia-highlights,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/northwest-colors,northwest-colors,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/unesco-heritage,unesco-heritage,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/wine-mendoza,wine-mendoza,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/best-glaciers,best-glaciers,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/best-waterfalls,best-waterfalls,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/best-national-parks,best-national-parks,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/best-trekking,best-trekking,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/best-for-photographers,best-for-photographers,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/wildlife-argentina,wildlife-argentina,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/week-in-argentina,week-in-argentina,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/two-weeks-argentina,two-weeks-argentina,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/best-patagonia,best-patagonia,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/lake-district,lake-district,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/patagonia-classic-10-days,patagonia-classic-10-days,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/northwest-7-days,northwest-7-days,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/buenos-aires-iguazu-5-days,buenos-aires-iguazu-5-days,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
kb,/baza-znaniy,,kb_hub,kb,no,Content editor (Layer A knowledge-base),yes,KEEP,Tier-1 hub
kb,/baza-znaniy/razdel/puteshestviya,puteshestviya,kb_section,kb,no,Content editor (Layer A),yes,KEEP,from KB_SECTIONS
kb,/baza-znaniy/razdel/goroda-i-regiony,goroda-i-regiony,kb_section,kb,no,Content editor (Layer A),yes,KEEP,from KB_SECTIONS
kb,/baza-znaniy/razdel/zhizn-v-strane,zhizn-v-strane,kb_section,kb,no,Content editor (Layer A),yes,KEEP,from KB_SECTIONS
kb,/baza-znaniy/razdel/pereezd,pereezd,kb_section,kb,no,Content editor (Layer A),yes,KEEP,from KB_SECTIONS
kb,/baza-znaniy/razdel/dokumenty,dokumenty,kb_section,kb,no,Content editor (Layer A),yes,KEEP,from KB_SECTIONS
kb,/baza-znaniy/razdel/finansy,finansy,kb_section,kb,no,Content editor (Layer A),yes,KEEP,from KB_SECTIONS
kb,/baza-znaniy/razdel/lichnyy-opyt,lichnyy-opyt,kb_section,kb,no,Content editor (Layer A),yes,KEEP,from KB_SECTIONS
kb,/baza-znaniy/aconcagua-provincial-park,aconcagua-provincial-park,kb_national_park,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/aeroporty,aeroporty,kb_transport,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/aktualen-li-blue-dollar,aktualen-li-blue-dollar,kb_faq,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,published
kb,/baza-znaniy/amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes,amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes,kb_attraction,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/arenda-avto-i-vozhdenie,arenda-avto-i-vozhdenie,kb_transport,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/argentina-10-dney,argentina-10-dney,kb_route,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/argentina-2-nedeli,argentina-2-nedeli,kb_route,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/argentina-3-nedeli,argentina-3-nedeli,kb_route,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/argentina-vs-drugie-strany,argentina-vs-drugie-strany,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/asado,asado,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/aves-del-chaco,aves-del-chaco,kb_attraction,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/bahia-blanca,bahia-blanca,kb_city,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/banado-la-estrella,banado-la-estrella,kb_national_park,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/banki-i-perevody,banki-i-perevody,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/bariloche,bariloche,kb_city,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/besplatna-li-medicina-dlya-turista,besplatna-li-medicina-dlya-turista,kb_faq,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/bezopasno-li-odnoj-zhenshchine,bezopasno-li-odnoj-zhenshchine,kb_faq,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,published
kb,/baza-znaniy/bezopasno-li-v-argentine,bezopasno-li-v-argentine,kb_faq,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,published
kb,/baza-znaniy/bezopasnost-argentina,bezopasnost-argentina,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/bienal-internacional-de-esculturas-en-resistencia,bienal-internacional-de-esculturas-en-resistencia,kb_attraction,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/buenos-aires,buenos-aires,kb_city,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/buenos-aires-province,buenos-aires-province,kb_region,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/byt-i-zhilyo,byt-i-zhilyo,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/byudzhet-poezdki,byudzhet-poezdki,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/caba,caba,kb_region,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/cafayate,cafayate,kb_city,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/campo-del-cielo,campo-del-cielo,kb_attraction,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/casa-historica-tucuman,casa-historica-tucuman,kb_attraction,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/catamarca,catamarca,kb_city,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/caucete-san-juan,caucete-san-juan,kb_attraction,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/chek-list-pereezda,chek-list-pereezda,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/chto-delat-krome-dostoprimechatelnostej,chto-delat-krome-dostoprimechatelnostej,kb_faq,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/chto-est-vegetariancu,chto-est-vegetariancu,kb_faq,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/chto-stoit-deneg-prioritety,chto-stoit-deneg-prioritety,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/chto-takoe-dni-i-cuil,chto-takoe-dni-i-cuil,kb_faq,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,published
kb,/baza-znaniy/chto-takoe-mep,chto-takoe-mep,kb_faq,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,published
kb,/baza-znaniy/chto-takoe-prekariya,chto-takoe-prekariya,kb_faq,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/chto-takoe-sube,chto-takoe-sube,kb_faq,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/circuito-callejero-de-potrero-de-los-funes,circuito-callejero-de-potrero-de-los-funes,kb_attraction,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/circuito-cultural-en-formosa,circuito-cultural-en-formosa,kb_attraction,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/circuito-de-cervecerias-en-rosario,circuito-de-cervecerias-en-rosario,kb_attraction,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/circuito-gastronomico-en-el-rio-parana,circuito-gastronomico-en-el-rio-parana,kb_attraction,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/colon-entre-rios,colon-entre-rios,kb_city,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/cueva-de-las-manos,cueva-de-las-manos,kb_attraction,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/cuyo,cuyo,kb_region,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/dni-cuil-cuit-putanitsa,dni-cuil-cuit-putanitsa,kb_author_tip,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/dostupnaya-sreda-i-invalidnost,dostupnaya-sreda-i-invalidnost,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/el-bolson,el-bolson,kb_city,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/el-calafate,el-calafate,kb_city,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/el-chalten,el-chalten,kb_city,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/esim-i-svyaz,esim-i-svyaz,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/esquel,esquel,kb_city,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/falshivye-policejskie-i-obmenniki,falshivye-policejskie-i-obmenniki,kb_author_tip,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/formosa,formosa,kb_city,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/futbol,futbol,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/futbol-kak-popast-bez-skama,futbol-kak-popast-bez-skama,kb_author_tip,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/gastronomia-de-chaco,gastronomia-de-chaco,kb_attraction,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/gde-luchshiy-karnaval-v-argentine,gde-luchshiy-karnaval-v-argentine,kb_faq,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,published
kb,/baza-znaniy/gid-po-dengam,gid-po-dengam,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/gid-po-dokumentam,gid-po-dokumentam,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/gid-po-kulture,gid-po-kulture,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/gid-po-medicine,gid-po-medicine,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/gid-po-transportu,gid-po-transportu,kb_transport,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/gid-po-zhilyu,gid-po-zhilyu,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/gid-puteshestvennika,gid-puteshestvennika,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/gid-relokanta,gid-relokanta,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
kb,/baza-znaniy/gosudarstvennye-prilozheniya,gosudarstvennye-prilozheniya,kb_guide,kb,no,content/knowledge-base/** (Layer A),yes,KEEP,site_ready
